feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
algae,9,3,6,10.0,23.333333333333332,-0.7874593997495953,0.0,0.0,0.013333333333333334,1.0,0.6059532432807865,algae,diet,0.05333333333333334,1.0,False,False
fish,9,3,6,10.333333333333334,27.0,-0.9275216062277245,0.0,0.0,0.07,1.0,0.4906492907057697,algae,diet,0.09333333333333334,1.0,False,False
invertebrates,9,3,6,10.333333333333334,27.0,-0.9275216062277245,0.0,0.0,0.07,1.0,0.4906492907057697,algae,diet,0.09333333333333334,1.0,False,False
plankton,9,3,6,8.333333333333334,8.5,-0.03418750763525563,0.0,0.0,0.9033333333333333,1.0,0.002387048471410913,algae,diet,0.9033333333333333,1.0,False,False
angelfishes,9,3,6,1.0,0.6666666666666666,0.18310204811135167,0.0,0.0,0.43666666666666665,1.0,0.036780539558209036,fish,word_group,0.6113333333333333,1.0,False,False
butterflyfishes,9,3,6,3.3333333333333335,4.833333333333333,-0.2665645960967668,0.0,0.0,0.49,1.0,0.05992981458304569,algae,word_group,0.6236363636363635,1.0,False,False
elongate_sand_burrow_dwellers,9,3,6,2.6666666666666665,0.5,0.8830528944246725,0.0,0.0,0.056666666666666664,1.0,0.569838115093998,fish,word_group,0.196,1.0,False,False
emperors,9,3,6,1.3333333333333333,0.5,0.43378161424073036,0.0,0.0,0.3466666666666667,1.0,0.1612878249462787,fish,word_group,0.5703703703703703,1.0,False,False
fusiliers,9,3,6,3.0,6.333333333333333,-0.800973480241707,0.0,0.0,0.22333333333333333,1.0,0.23529115571424086,algae,word_group,0.5211111111111111,1.0,False,False
goatfishes,9,3,6,2.3333333333333335,5.0,-0.6337013565701564,0.0,0.0,0.03333333333333333,1.0,0.5265154788728621,algae,word_group,0.196,1.0,False,False
groupers_large,9,3,6,1.3333333333333333,0.3333333333333333,0.4620981203732966,0.0,0.0,0.36666666666666664,1.0,0.2105263157894739,fish,word_group,0.5703703703703703,1.0,False,False
parrotfishes,9,3,6,6.666666666666667,7.666666666666667,-0.056821097828432046,0.0,0.0,0.8833333333333333,1.0,0.0023475988973782336,algae,word_group,0.8833333333333334,1.0,False,False
puffers,9,3,6,1.3333333333333333,0.8333333333333334,0.2027325540540821,0.0,0.0,0.6333333333333333,1.0,0.04438967629130408,fish,word_group,0.7388888888888889,1.0,False,False
small_ovals_damselfishes,9,3,6,8.333333333333334,7.5,0.08909035839721743,0.0,0.0,0.7533333333333333,1.0,0.014624223496374489,fish,word_group,0.8112820512820513,1.0,False,False
snappers,9,3,6,10.333333333333334,27.0,-0.9275216062277245,0.0,0.0,0.07,1.0,0.4906492907057697,algae,word_group,0.196,1.0,False,False
surgeonfishes,9,3,6,4.0,23.333333333333332,-1.5482535283084378,0.0,0.0,0.013333333333333334,1.0,0.8848239045320174,algae,word_group,0.18666666666666668,1.0,False,False
triggerfishes,9,3,6,1.3333333333333333,2.8333333333333335,-0.4094559621368839,0.0,0.0,0.30666666666666664,1.0,0.19504180218899902,algae,word_group,0.5703703703703703,1.0,False,False
wrasses,9,3,6,5.666666666666667,1.3333333333333333,0.9026834003674031,0.0,0.0,0.043333333333333335,1.0,0.575461456240997,fish,word_group,0.196,1.0,False,False
acanthuridae,9,3,6,4.0,23.333333333333332,-1.5482535283084378,0.0,0.0,0.013333333333333334,1.0,0.8848239045320174,algae,family,0.2,1.0,False,False
balistidae,9,3,6,1.3333333333333333,2.8333333333333335,-0.4094559621368839,0.0,0.0,0.30666666666666664,1.0,0.19504180218899902,algae,family,0.55,1.0,False,False
caesionidae,9,3,6,3.0,6.333333333333333,-0.800973480241707,0.0,0.0,0.22333333333333333,1.0,0.23529115571424086,algae,family,0.55,1.0,False,False
carangidae,9,3,6,4.333333333333333,1.5,0.44590416229768853,0.0,0.0,0.3566666666666667,1.0,0.11857187086100518,fish,family,0.55,1.0,False,False
chaetodontidae,9,3,6,3.3333333333333335,4.833333333333333,-0.2665645960967668,0.0,0.0,0.49,1.0,0.05992981458304569,algae,family,0.6124999999999999,1.0,False,False
labridae,9,3,6,5.666666666666667,1.3333333333333333,0.9026834003674031,0.0,0.0,0.043333333333333335,1.0,0.575461456240997,fish,family,0.21000000000000002,1.0,False,False
lethrinidae,9,3,6,1.3333333333333333,0.5,0.43378161424073036,0.0,0.0,0.3466666666666667,1.0,0.1612878249462787,fish,family,0.55,1.0,False,False
lutjanidae,9,3,6,10.333333333333334,27.0,-0.9275216062277245,0.0,0.0,0.07,1.0,0.4906492907057697,algae,family,0.21000000000000002,1.0,False,False
mullidae,9,3,6,2.3333333333333335,5.0,-0.6337013565701564,0.0,0.0,0.03333333333333333,1.0,0.5265154788728621,algae,family,0.21000000000000002,1.0,False,False
pinguipedidae,9,3,6,2.6666666666666665,0.5,0.8830528944246725,0.0,0.0,0.056666666666666664,1.0,0.569838115093998,fish,family,0.21000000000000002,1.0,False,False
pomacanthidae,9,3,6,1.0,0.6666666666666666,0.18310204811135167,0.0,0.0,0.43666666666666665,1.0,0.036780539558209036,fish,family,0.5954545454545455,1.0,False,False
pomacentridae,9,3,6,8.333333333333334,7.5,0.08909035839721743,0.0,0.0,0.7533333333333333,1.0,0.014624223496374489,fish,family,0.807142857142857,1.0,False,False
scaridae,9,3,6,6.666666666666667,7.666666666666667,-0.056821097828432046,0.0,0.0,0.8833333333333333,1.0,0.0023475988973782336,algae,family,0.8833333333333333,1.0,False,False
serranidae,9,3,6,1.3333333333333333,0.3333333333333333,0.4620981203732966,0.0,0.0,0.36666666666666664,1.0,0.2105263157894739,fish,family,0.55,1.0,False,False
tetraodontidae,9,3,6,1.3333333333333333,0.8333333333333334,0.2027325540540821,0.0,0.0,0.6333333333333333,1.0,0.04438967629130408,fish,family,0.7307692307692307,1.0,False,False
abudefduf,9,3,6,1.0,2.0,-0.3465735902799727,0.0,0.0,0.5533333333333333,1.0,0.08540749337034825,algae,genus,0.7377777777777778,1.0,False,False
acanthurus,9,3,6,2.0,2.3333333333333335,-0.12439861584645978,0.0,0.0,0.5233333333333333,1.0,0.06304225873294611,algae,genus,0.7377777777777778,1.0,False,False
balistoides,9,3,6,1.3333333333333333,1.5,0.030386926132325742,0.0,0.0,1.0,1.0,0.0012069869587075788,fish,genus,1.0,1.0,False,False
chaetodon,9,3,6,3.3333333333333335,4.833333333333333,-0.2665645960967668,0.0,0.0,0.49,1.0,0.05992981458304569,algae,genus,0.7377777777777778,1.0,False,False
ctenochaetus,9,3,6,3.6666666666666665,1.5,0.7195813522560515,0.0,0.0,0.13333333333333333,1.0,0.325378291081187,fish,genus,0.30476190476190473,1.0,False,False
dascyllus,9,3,6,7.333333333333333,7.5,-0.14195870178943074,0.0,0.0,0.7033333333333334,1.0,0.02061954929760823,algae,genus,0.8656410256410256,1.0,False,False
genus chromis,9,3,6,1.3333333333333333,1.8333333333333333,-0.10476810990372909,0.0,0.0,0.78,1.0,0.0055938400595894056,algae,genus,0.8914285714285715,1.0,False,False
lethrinus,9,3,6,1.0,0.5,0.29862657820467575,0.0,0.0,0.42333333333333334,1.0,0.0915602953591641,fish,genus,0.7377777777777778,1.0,False,False
lutjanus,9,3,6,10.333333333333334,27.0,-0.9275216062277245,0.0,0.0,0.07,1.0,0.4906492907057697,algae,genus,0.22400000000000003,1.0,False,False
macolor,9,3,6,1.0,0.8333333333333334,0.11552453009332414,0.0,0.0,1.0,1.0,0.0625,fish,genus,1.0,1.0,False,False
naso,9,3,6,1.0,23.333333333333332,-2.5468309528264337,0.0,0.0,0.013333333333333334,1.0,0.9179961971424462,algae,genus,0.10666666666666667,1.0,False,False
parapercis,9,3,6,2.6666666666666665,0.5,0.8830528944246725,0.0,0.0,0.056666666666666664,1.0,0.569838115093998,fish,genus,0.22400000000000003,1.0,False,False
parupeneus,9,3,6,2.0,4.166666666666667,-0.5796930704663807,0.0,0.0,0.13,1.0,0.3302227545943338,algae,genus,0.30476190476190473,1.0,False,False
pomacanthus,9,3,6,1.0,0.5,0.2986265782046757,0.0,0.0,0.45666666666666667,1.0,0.0915602953591641,fish,genus,0.7377777777777778,1.0,False,False
thalassoma,9,3,6,5.666666666666667,1.0,1.0857854484787546,0.0,0.0,0.023333333333333334,1.0,0.5936221041901879,fish,genus,0.12444444444444445,1.0,False,False
zebrasoma,9,3,6,0.6666666666666666,3.0,-0.9026834003674035,0.0,0.0,0.013333333333333334,1.0,0.7366400760848568,algae,genus,0.10666666666666667,1.0,False,False
disk-shaped/colourful,9,3,6,3.6666666666666665,4.833333333333333,-0.1314095600607119,0.0,0.0,0.7133333333333334,1.0,0.01888599869156138,algae,unspecific,0.8286666666666667,1.0,False,False
elongate sand & burrow dwellers,9,3,6,2.6666666666666665,0.5,0.8830528944246725,0.0,0.0,0.056666666666666664,1.0,0.569838115093998,fish,unspecific,0.1925,1.0,False,False
heavy bodies/large lips,9,3,6,1.3333333333333333,0.3333333333333333,0.4620981203732966,0.0,0.0,0.36666666666666664,1.0,0.2105263157894739,fish,unspecific,0.5041666666666667,1.0,False,False
