scenario,feature,feature_type,direction,p_bh_bait,p_bh_interaction,beta_bait_fish_vs_algae,beta_interaction
baseline,wrasses,word_group,fish,0.306,1.0,0.6432237912665385,0.0
baseline,labridae,family,fish,0.32300000000000006,1.0,0.6432237912665385,0.0
baseline,triggerfishes,word_group,algae,0.306,1.0,-0.616531516285884,0.0
baseline,balistidae,family,algae,0.32300000000000006,1.0,-0.616531516285884,0.0
baseline,snappers,word_group,algae,0.306,1.0,-0.6468100572506644,0.0
baseline,lutjanidae,family,algae,0.32300000000000006,1.0,-0.6468100572506644,0.0
baseline,naso,genus,algae,0.042222222222222223,1.0,-2.096670423729179,0.0
baseline,siganus,genus,algae,0.46142857142857147,1.0,-0.6969392590953313,0.0
baseline,rabbitfishes,word_group,algae,0.306,1.0,-0.8124637891886557,0.0
baseline,siganidae,family,algae,0.32300000000000006,1.0,-0.8124637891886557,0.0
baseline,moorish_idol,word_group,algae,0.5307692307692308,1.0,-0.489473459287633,0.0
baseline,zanclidae,family,algae,0.5602564102564103,1.0,-0.489473459287633,0.0
baseline,zanclus,genus,algae,0.7916666666666666,1.0,-0.489473459287633,0.0
no_dominant_videos,wrasses,word_group,fish,0.196,1.0,0.9026834003674031,0.0
no_dominant_videos,labridae,family,fish,0.21000000000000002,1.0,0.9026834003674031,0.0
no_dominant_videos,triggerfishes,word_group,algae,0.5703703703703703,1.0,-0.4094559621368839,0.0
no_dominant_videos,balistidae,family,algae,0.55,1.0,-0.4094559621368839,0.0
no_dominant_videos,snappers,word_group,algae,0.196,1.0,-0.9275216062277245,0.0
no_dominant_videos,lutjanidae,family,algae,0.21000000000000002,1.0,-0.9275216062277245,0.0
no_dominant_videos,naso,genus,algae,0.10666666666666667,1.0,-2.5468309528264337,0.0
no_rare_features,wrasses,word_group,fish,0.306,1.0,0.6432237912665385,0.0
no_rare_features,labridae,family,fish,0.32300000000000006,1.0,0.6432237912665385,0.0
no_rare_features,triggerfishes,word_group,algae,0.306,1.0,-0.616531516285884,0.0
no_rare_features,balistidae,family,algae,0.32300000000000006,1.0,-0.616531516285884,0.0
no_rare_features,snappers,word_group,algae,0.306,1.0,-0.6468100572506644,0.0
no_rare_features,lutjanidae,family,algae,0.32300000000000006,1.0,-0.6468100572506644,0.0
no_rare_features,naso,genus,algae,0.042222222222222223,1.0,-2.096670423729179,0.0
no_rare_features,siganus,genus,algae,0.46142857142857147,1.0,-0.6969392590953313,0.0
no_rare_features,rabbitfishes,word_group,algae,0.306,1.0,-0.8124637891886557,0.0
no_rare_features,siganidae,family,algae,0.32300000000000006,1.0,-0.8124637891886557,0.0
no_rare_features,moorish_idol,word_group,algae,0.5307692307692308,1.0,-0.489473459287633,0.0
no_rare_features,zanclidae,family,algae,0.5602564102564103,1.0,-0.489473459287633,0.0
no_rare_features,zanclus,genus,algae,0.7916666666666666,1.0,-0.489473459287633,0.0
no_dominant_and_no_rare,wrasses,word_group,fish,0.196,1.0,0.9026834003674031,0.0
no_dominant_and_no_rare,labridae,family,fish,0.21000000000000002,1.0,0.9026834003674031,0.0
no_dominant_and_no_rare,triggerfishes,word_group,algae,0.5703703703703703,1.0,-0.4094559621368839,0.0
no_dominant_and_no_rare,balistidae,family,algae,0.55,1.0,-0.4094559621368839,0.0
no_dominant_and_no_rare,snappers,word_group,algae,0.196,1.0,-0.9275216062277245,0.0
no_dominant_and_no_rare,lutjanidae,family,algae,0.21000000000000002,1.0,-0.9275216062277245,0.0
no_dominant_and_no_rare,naso,genus,algae,0.10666666666666667,1.0,-2.5468309528264337,0.0
