filename,koeder,arabian monocle (scolopsis ghanam),bicolor (labroides bicolor),bird wrasse (gomphosus caeruleus),black saddled toby (canthigaster valentini),black-backed (chaetodon melannotus),black-lipped (chaetodon kleinii),blackspot (lutjanus fulviflamma),blackspot feeding (lutjanus fulviflamma),blackwhite (macolor niger),blackwhite feeding (macolor niger),blue barred (scarus ghobban),blue-streak (labroides dimidiatus),bluefin (caranx melampygus),brassy trevally (caranx papuensis),brown pigmy (centropyge multispinis),brown tang (zebrasoma scopas),bullethead (chlorurus sordidus),checkerboard (halichoeres hortulanus),coral (cephalopholis miniata),disappearing (pseudocheilinus evanidus),emperor (pomacanthus imperator),false-eye (abudefduf sparoides),goldbar (thalassoma hebraicum),goldsaddle (parupeneus cyclostomus),green (amblyglyphidodon indicus),halfmoon (sufflamen chrysopterum),honeycomb (siganus stellatus),humpback (lutjanus gibbus),humpnose bigeye (monotaxis grandoculis),indian longnose (hipposcarus harid),indian redfin (chaetodon trifasciatus),lined bristletooth (ctenochaetus striatus),linedcheeked (oxycheilinus digramma),longbarbel (parupeneus macronemus),longfin banner (heniochus acuminatus),longnose (lethrinus olivaceus),mahsena (lethrinus mahsena),map (arothron mappa),monk (acanthurus gahhm),moon (thalassoma lunare),moorish idol (zanclus cornutus),mozambique fangblenny (meiacanthus mossambicus),paletail unicorn (naso brevirostris),peacock damsel (pomacentrus pavo),queen (coris formosa),raccoon (chaetodon lunula),red (lutjanus bohar),red-breasted (cheilinus fasciatus),redmouth (aethaloperca rogaa),rockmover (novaculichthys taeniourus),saddleback (chaetodon falcula),sailfin tang (zebrasoma desjardinii),scissortail sergeant (abudefduf sexfasciatus),scrawled (aluterus scriptus),sidespot (parupeneus pleurostigma),sixbar (thalassoma hardwicke),snubnose (lethrinus borbonicus),speckled (parapercis hexophthalma),spotted (diodon hystrix),spotted toby (canthigaster solandri),threadfin (chaetodon auriga),threespot dascyllus (dascyllus trimaculatus),thumbprint (lethrinus harak),titan (balistoides viridescens),trumpetfish (aulostomus chinensis),weber's puller (chromis weberi),whitetail (acanthurus thompsoni),yellow-margin (gymnothorax flavimarginatus),yellowhead (chaetodon xanthocephalus),yellowmargin (pseudobalistes flavimarginatus),yellowstripe (mulloidichthys flavolineatus)
20241204-nursery-algae_strings.csv,algae_strings,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
20241205-nursery-algae_strings.csv,algae_strings,8.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0
20241206-nursery-algae_strings.csv,algae_strings,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,20.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,5.0
20241208-nursery-algaemix.csv,algaemix,10.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,43.0,0.0,3.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,6.0,4.0
20241209-nursery-algaemix.csv,algaemix,20.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,45.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,32.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,8.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
20241210-nursery-algaemix.csv,algaemix,12.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,7.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0
20240106-nursery-mackerel.csv,mackerel,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240223-nursery-mackerel.csv,mackerel,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,18.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20241126-nursery-mackerel.csv,mackerel,6.0,0.0,0.0,1.0,3.0,1.0,19.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,30.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,0.0,10.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
20251212-nursery-mackerel.csv,mackerel,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,6.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
