site,family,algae_present,algae_total,fish_present,fish_total,algae_rate,fish_rate,present_total,direction_observed,fisher_p_two_sided,fisher_p_directional,q_bh_two_sided_site,q_holm_two_sided_site,q_bh_directional_site,q_holm_directional_site
milimani,tetraodontidae,9,10,1,4,0.9,0.25,10,algae>fish,0.04095904095904096,0.04095904095904096,0.8601398601398602,0.8601398601398602,0.7342657342657344,0.8601398601398602
milimani,zanclidae,4,10,4,4,0.4,1.0,8,fish>algae,0.08491508491508493,0.06993006993006994,0.8916083916083918,1.0,0.7342657342657344,1.0
milimani,carangidae,3,10,3,4,0.3,0.75,6,fish>algae,0.24475524475524474,0.17482517482517482,1.0,1.0,0.8653846153846154,1.0
milimani,holocentridae,4,10,0,4,0.4,0.0,4,algae>fish,0.2507492507492507,0.20979020979020976,1.0,1.0,0.8653846153846154,1.0
milimani,pinguipedidae,4,10,3,4,0.4,0.75,7,fish>algae,0.5594405594405594,0.2797202797202797,1.0,1.0,0.8653846153846154,1.0
milimani,lethrinidae,10,10,3,4,1.0,0.75,13,algae>fish,0.2857142857142857,0.2857142857142857,1.0,1.0,0.8653846153846154,1.0
milimani,aulostomidae,8,10,2,4,0.8,0.5,10,algae>fish,0.5204795204795204,0.31068931068931066,1.0,1.0,0.8653846153846154,1.0
milimani,lutjanidae,7,10,4,4,0.7,1.0,11,fish>algae,0.5054945054945055,0.32967032967032966,1.0,1.0,0.8653846153846154,1.0
milimani,blenniidae,7,10,2,4,0.7,0.5,9,algae>fish,0.5804195804195804,0.45454545454545453,1.0,1.0,1.0,1.0
milimani,monacanthidae,7,10,3,4,0.7,0.75,10,fish>algae,1.0,0.6893106893106893,1.0,1.0,1.0,1.0
milimani,siganidae,7,10,3,4,0.7,0.75,10,fish>algae,1.0,0.6893106893106893,1.0,1.0,1.0,1.0
milimani,cirrhitidae,5,10,2,4,0.5,0.5,7,algae>fish,1.0,0.7202797202797202,1.0,1.0,1.0,1.0
milimani,acanthuridae,10,10,4,4,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
milimani,balistidae,10,10,4,4,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
milimani,chaetodontidae,10,10,4,4,1.0,1.0,14,algae>fish,1.0,1.0,1.0,1.0,1.0,1.0
