label_name,label_hierarchy,count,file_name
Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),128,22375-2510milimani-c10-makarel-ganz.csv
Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),122,22375-2510milimani-c10-makarel-ganz.csv
Sailfin Tang (Zebrasoma desjardinii),Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii),86,22375-2510milimani-c10-makarel-ganz.csv
Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),12,22375-2510milimani-c10-makarel-ganz.csv
Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),10,22375-2510milimani-c10-makarel-ganz.csv
Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),10,22375-2510milimani-c10-makarel-ganz.csv
Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),7,22375-2510milimani-c10-makarel-ganz.csv
Moorish Idol (Zanclus cornutus),Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus),7,22375-2510milimani-c10-makarel-ganz.csv
Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),6,22375-2510milimani-c10-makarel-ganz.csv
Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),6,22375-2510milimani-c10-makarel-ganz.csv
Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),6,22375-2510milimani-c10-makarel-ganz.csv
Red (Lutjanus bohar),Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar),5,22375-2510milimani-c10-makarel-ganz.csv
Indian Longnose (Hipposcarus harid),Parrotfishes > Parrotfishes (Scaridae) > Indian Longnose (Hipposcarus harid),4,22375-2510milimani-c10-makarel-ganz.csv
Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),4,22375-2510milimani-c10-makarel-ganz.csv
Wrasses (Labridae),Wrasses > Wrasses (Labridae),4,22375-2510milimani-c10-makarel-ganz.csv
Thumbprint (Lethrinus harak),Sloping Heads > Emperors (Lethrinidae) > Thumbprint (Lethrinus harak),4,22375-2510milimani-c10-makarel-ganz.csv
Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),3,22375-2510milimani-c10-makarel-ganz.csv
Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),3,22375-2510milimani-c10-makarel-ganz.csv
Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),3,22375-2510milimani-c10-makarel-ganz.csv
Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis),3,22375-2510milimani-c10-makarel-ganz.csv
Bluefin (Caranx melampygus),Silvery > Jacks/Trevallyes (Carangidae) > Bluefin (Caranx melampygus),3,22375-2510milimani-c10-makarel-ganz.csv
Black-backed (Chaetodon melannotus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-backed (Chaetodon melannotus),3,22375-2510milimani-c10-makarel-ganz.csv
