standort,koeder,n_videos,mean_species_richness,median_species_richness,sd_species_richness,min_species_richness,max_species_richness
milimani,control,3,42.333333333333336,45.0,5.507570547286101,36,46
milimani,fischmix,1,47.0,47.0,0.0,47,47
milimani,mackerel,3,48.666666666666664,53.0,13.051181300301263,34,59
milimani,sargassum,3,45.333333333333336,46.0,1.154700538379251,44,46
milimani,ulva_gutweed,3,44.666666666666664,46.0,5.131601439446884,39,49
milimani,ulva_salad,4,42.75,41.5,10.781929326423914,31,57
nursery,algae_strings,3,37.0,36.0,3.605551275463989,34,41
nursery,algaemix,3,39.666666666666664,42.0,4.932882862316246,34,43
nursery,control,1,29.0,29.0,0.0,29,29
nursery,mackerel,4,35.0,35.0,4.966554808583781,29,41
utumbi,control,4,47.75,47.0,5.188127472091127,43,54
utumbi,fischmix,2,57.5,57.5,7.7781745930520225,52,63
utumbi,mackerel,3,54.333333333333336,51.0,6.658328118479393,50,62
utumbi,sargassum,3,57.0,56.0,3.605551275463989,54,61
utumbi,ulva_gutweed,3,53.0,54.0,2.6457513110645907,50,55
utumbi,ulva_salad,3,52.0,53.0,3.605551275463989,48,55
