standort,group_a,group_b,n_a,n_b,u_stat,p_value,p_value_holm,significant_0_05,significant_0_05_holm
milimani,sargassum,ulva_salad,3,4,9.0,0.3724558699813696,1.0,False,False
milimani,control,ulva_gutweed,3,3,2.5,0.5065551690490403,1.0,False,False
milimani,mackerel,ulva_salad,3,4,8.0,0.6285714285714286,1.0,False,False
milimani,control,sargassum,3,3,3.0,0.6428348264908044,1.0,False,False
milimani,mackerel,sargassum,3,3,6.0,0.6579050194284821,1.0,False,False
milimani,control,mackerel,3,3,3.0,0.7,1.0,False,False
milimani,mackerel,ulva_gutweed,3,3,6.0,0.7,1.0,False,False
milimani,control,ulva_salad,3,4,7.0,0.8571428571428571,1.0,False,False
milimani,ulva_gutweed,ulva_salad,3,4,7.0,0.8571428571428571,1.0,False,False
milimani,sargassum,ulva_gutweed,3,3,4.0,1.0,1.0,False,False
nursery,algaemix,mackerel,3,4,9.5,0.2845026979112075,0.8535080937336226,False,False
nursery,algae_strings,algaemix,3,3,2.5,0.5065551690490403,1.0,False,False
nursery,algae_strings,mackerel,3,4,7.5,0.7162897505408428,1.0,False,False
utumbi,control,sargassum,4,3,0.5,0.07446183141740546,1.0,False,False
utumbi,sargassum,ulva_salad,3,3,8.0,0.2,1.0,False,False
utumbi,control,ulva_gutweed,4,3,2.0,0.20761741115484578,1.0,False,False
utumbi,control,fischmix,4,2,1.0,0.26666666666666666,1.0,False,False
utumbi,sargassum,ulva_gutweed,3,3,7.5,0.26828588367711736,1.0,False,False
utumbi,control,mackerel,4,3,2.5,0.2845026979112075,1.0,False,False
utumbi,control,ulva_salad,4,3,3.0,0.4,1.0,False,False
utumbi,fischmix,mackerel,2,3,5.0,0.4,1.0,False,False
utumbi,mackerel,sargassum,3,3,3.0,0.7,1.0,False,False
utumbi,fischmix,ulva_gutweed,2,3,4.0,0.8,1.0,False,False
utumbi,fischmix,ulva_salad,2,3,4.0,0.8,1.0,False,False
utumbi,ulva_gutweed,ulva_salad,3,3,5.5,0.8247780950825133,1.0,False,False
utumbi,fischmix,sargassum,2,3,3.0,1.0,1.0,False,False
utumbi,mackerel,ulva_gutweed,3,3,4.5,1.0,1.0,False,False
utumbi,mackerel,ulva_salad,3,3,5.0,1.0,1.0,False,False
