group_a,group_b,n_a,n_b,u_stat,p_value,p_value_holm,significant_0_05,significant_0_05_holm
algae_strings,ulva_gutweed,3,6,0.0,0.023809523809523808,0.6666666666666666,True,False
algae_strings,sargassum,3,6,0.0,0.02753189387562954,0.7433611346419976,True,False
algaemix,sargassum,3,6,0.5,0.03724916580683398,0.9684783109776836,True,False
algaemix,ulva_gutweed,3,6,2.0,0.09523809523809523,1.0,False,False
algae_strings,fischmix,3,3,0.0,0.1,1.0,False,False
algaemix,fischmix,3,3,0.0,0.1,1.0,False,False
control,sargassum,8,6,11.0,0.10427137390803749,1.0,False,False
algae_strings,ulva_salad,3,7,3.0,0.11666666666666667,1.0,False,False
algae_strings,control,3,8,4.0,0.13333333333333333,1.0,False,False
control,fischmix,8,3,4.5,0.1521073186608581,1.0,False,False
control,ulva_gutweed,8,6,12.5,0.15421536911474204,1.0,False,False
algaemix,control,3,8,5.5,0.21962048310852822,1.0,False,False
mackerel,sargassum,10,6,19.5,0.2773680065076949,1.0,False,False
algaemix,ulva_salad,3,7,5.5,0.3035889878768999,1.0,False,False
fischmix,mackerel,3,10,21.0,0.3706293706293706,1.0,False,False
algae_strings,mackerel,3,10,9.5,0.3973756041536246,1.0,False,False
fischmix,ulva_salad,3,7,14.5,0.4236224903690263,1.0,False,False
sargassum,ulva_salad,6,7,26.5,0.47383319059283024,1.0,False,False
mackerel,ulva_gutweed,10,6,23.0,0.480148909827134,1.0,False,False
control,ulva_salad,8,7,21.5,0.4870641534695065,1.0,False,False
algaemix,mackerel,3,10,11.0,0.5530205443297598,1.0,False,False
algae_strings,algaemix,3,3,3.0,0.7,1.0,False,False
fischmix,ulva_gutweed,3,6,11.0,0.7142857142857142,1.0,False,False
sargassum,ulva_gutweed,6,6,20.5,0.7466248114708864,1.0,False,False
mackerel,ulva_salad,10,7,31.5,0.7695606907748618,1.0,False,False
ulva_gutweed,ulva_salad,6,7,22.5,0.8862477072704644,1.0,False,False
control,mackerel,8,10,38.5,0.9290897031196561,1.0,False,False
fischmix,sargassum,3,6,9.0,1.0,1.0,False,False
