taxon_key,koeder,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
family_label::butterflyfishes (chaetodontidae),control,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::butterflyfishes (chaetodontidae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::butterflyfishes (chaetodontidae),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
family_label::butterflyfishes (chaetodontidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::butterflyfishes (chaetodontidae),ulva_gutweed,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::butterflyfishes (chaetodontidae),ulva_salad,4,0,0.0,0.0,0.0,0.0,0.0
family_label::cornetfishes (fistulariidae),control,3,0,0.0,0.0,0.0,0.0,0.0
family_label::cornetfishes (fistulariidae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::cornetfishes (fistulariidae),mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::cornetfishes (fistulariidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::cornetfishes (fistulariidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::cornetfishes (fistulariidae),ulva_salad,4,0,0.0,0.0,0.0,0.0,0.0
family_label::emperors (lethrinidae),control,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::emperors (lethrinidae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::emperors (lethrinidae),mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::emperors (lethrinidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::emperors (lethrinidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::emperors (lethrinidae),ulva_salad,4,0,0.0,0.0,0.0,0.0,0.0
family_label::filefishes (monacanthidae),control,3,0,0.0,0.0,0.0,0.0,0.0
family_label::filefishes (monacanthidae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::filefishes (monacanthidae),mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::filefishes (monacanthidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::filefishes (monacanthidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::filefishes (monacanthidae),ulva_salad,4,0,0.0,0.0,0.0,0.0,0.0
family_label::goatfishes (mullidae),control,3,0,0.0,0.0,0.0,0.0,0.0
family_label::goatfishes (mullidae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::goatfishes (mullidae),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
family_label::goatfishes (mullidae),sargassum,3,1,0.3333333333333333,3.6666666666666665,0.0,6.3508529610858835,11.0
family_label::goatfishes (mullidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::goatfishes (mullidae),ulva_salad,4,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers (serranidae),control,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
family_label::groupers (serranidae),fischmix,1,1,1.0,3.0,3.0,0.0,3.0
family_label::groupers (serranidae),mackerel,3,2,0.6666666666666666,1.0,1.0,1.0,2.0
family_label::groupers (serranidae),sargassum,3,3,1.0,1.6666666666666667,2.0,0.5773502691896257,2.0
family_label::groupers (serranidae),ulva_gutweed,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
family_label::groupers (serranidae),ulva_salad,4,2,0.5,1.0,0.5,1.4142135623730951,3.0
family_label::groupers feeding,control,3,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers feeding,fischmix,1,1,1.0,2.0,2.0,0.0,2.0
family_label::groupers feeding,mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::groupers feeding,sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers feeding,ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers feeding,ulva_salad,4,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers interested,control,3,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers interested,fischmix,1,1,1.0,2.0,2.0,0.0,2.0
family_label::groupers interested,mackerel,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
family_label::groupers interested,sargassum,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::groupers interested,ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers interested,ulva_salad,4,0,0.0,0.0,0.0,0.0,0.0
family_label::jacks/trevallyes (carangidae),control,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::jacks/trevallyes (carangidae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::jacks/trevallyes (carangidae),mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::jacks/trevallyes (carangidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::jacks/trevallyes (carangidae),ulva_gutweed,3,1,0.3333333333333333,1.0,0.0,1.7320508075688772,3.0
family_label::jacks/trevallyes (carangidae),ulva_salad,4,1,0.25,0.25,0.0,0.5,1.0
family_label::parrotfishes (scaridae),control,3,3,1.0,2.3333333333333335,2.0,1.5275252316519465,4.0
family_label::parrotfishes (scaridae),fischmix,1,1,1.0,6.0,6.0,0.0,6.0
family_label::parrotfishes (scaridae),mackerel,3,3,1.0,7.0,3.0,7.810249675906654,16.0
family_label::parrotfishes (scaridae),sargassum,3,3,1.0,11.666666666666666,5.0,13.316656236958787,27.0
family_label::parrotfishes (scaridae),ulva_gutweed,3,3,1.0,5.0,5.0,4.0,9.0
family_label::parrotfishes (scaridae),ulva_salad,4,4,1.0,6.75,6.5,4.573474244670748,12.0
family_label::puffers (tetraodontidae),control,3,0,0.0,0.0,0.0,0.0,0.0
family_label::puffers (tetraodontidae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::puffers (tetraodontidae),mackerel,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
family_label::puffers (tetraodontidae),sargassum,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::puffers (tetraodontidae),ulva_gutweed,3,2,0.6666666666666666,1.0,1.0,1.0,2.0
family_label::puffers (tetraodontidae),ulva_salad,4,4,1.0,1.25,1.0,0.5,2.0
family_label::surgeonfishes (acanthuridae),control,3,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),ulva_salad,4,2,0.5,2.75,0.5,4.856267428111155,10.0
family_label::triggerfishes (balistidae),control,3,0,0.0,0.0,0.0,0.0,0.0
family_label::triggerfishes (balistidae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::triggerfishes (balistidae),mackerel,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
family_label::triggerfishes (balistidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::triggerfishes (balistidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::triggerfishes (balistidae),ulva_salad,4,1,0.25,0.5,0.0,1.0,2.0
family_label::tunas/mackerels (scombridae),control,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::tunas/mackerels (scombridae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::tunas/mackerels (scombridae),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
family_label::tunas/mackerels (scombridae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::tunas/mackerels (scombridae),ulva_gutweed,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::tunas/mackerels (scombridae),ulva_salad,4,1,0.25,0.25,0.0,0.5,1.0
family_label::turtle (cheloniidae),control,3,0,0.0,0.0,0.0,0.0,0.0
family_label::turtle (cheloniidae),fischmix,1,0,0.0,0.0,0.0,0.0,0.0
family_label::turtle (cheloniidae),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
family_label::turtle (cheloniidae),sargassum,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
family_label::turtle (cheloniidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
