taxon_key,koeder,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
family_label::batfishes (ephippidae),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
family_label::batfishes (ephippidae),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
family_label::batfishes (ephippidae),control,1,1,1.0,1.0,1.0,0.0,1.0
family_label::batfishes (ephippidae),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
family_label::blennies (blenniidae),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
family_label::blennies (blenniidae),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
family_label::blennies (blenniidae),control,1,1,1.0,1.0,1.0,0.0,1.0
family_label::blennies (blenniidae),mackerel,4,1,0.25,0.25,0.0,0.5,1.0
family_label::cornetfishes (fistulariidae),algae_strings,3,2,0.6666666666666666,0.6666666666666666,1.0,0.5773502691896258,1.0
family_label::cornetfishes (fistulariidae),algaemix,3,2,0.6666666666666666,2.0,2.0,2.0,4.0
family_label::cornetfishes (fistulariidae),control,1,0,0.0,0.0,0.0,0.0,0.0
family_label::cornetfishes (fistulariidae),mackerel,4,2,0.5,1.75,0.5,2.8722813232690143,6.0
family_label::emperors (lethrinidae),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
family_label::emperors (lethrinidae),algaemix,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::emperors (lethrinidae),control,1,0,0.0,0.0,0.0,0.0,0.0
family_label::emperors (lethrinidae),mackerel,4,0,0.0,0.0,0.0,0.0,0.0
family_label::fusiliers (caesionidae),algae_strings,3,3,1.0,7.0,7.0,3.0,10.0
family_label::fusiliers (caesionidae),algaemix,3,3,1.0,5.666666666666667,7.0,4.163331998932266,9.0
family_label::fusiliers (caesionidae),control,1,1,1.0,1.0,1.0,0.0,1.0
family_label::fusiliers (caesionidae),mackerel,4,2,0.5,2.25,1.0,3.304037933599835,7.0
family_label::goatfishes (mullidae),algae_strings,3,0,0.0,0.0,0.0,0.0,0.0
family_label::goatfishes (mullidae),algaemix,3,0,0.0,0.0,0.0,0.0,0.0
family_label::goatfishes (mullidae),control,1,0,0.0,0.0,0.0,0.0,0.0
