taxon_key,koeder,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
family_label::blennies (blenniidae),control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::blennies (blenniidae),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
family_label::blennies (blenniidae),mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::blennies (blenniidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::blennies (blenniidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::blennies (blenniidae),ulva_salad,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::emperors (lethrinidae),control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::emperors (lethrinidae),fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
family_label::emperors (lethrinidae),mackerel,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::emperors (lethrinidae),sargassum,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5773502691896258,1.0
family_label::emperors (lethrinidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::emperors (lethrinidae),ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
family_label::fusiliers (caesionidae),control,4,1,0.25,0.5,0.0,1.0,2.0
family_label::fusiliers (caesionidae),fischmix,2,2,1.0,29.0,29.0,11.313708498984761,37.0
family_label::fusiliers (caesionidae),mackerel,3,1,0.3333333333333333,14.0,0.0,24.24871130596428,42.0
family_label::fusiliers (caesionidae),sargassum,3,2,0.6666666666666666,15.333333333333334,18.0,14.189197769195175,28.0
family_label::fusiliers (caesionidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::fusiliers (caesionidae),ulva_salad,3,3,1.0,71.33333333333333,87.0,28.005951748393294,88.0
family_label::groupers (serranidae),control,4,4,1.0,1.5,1.5,0.5773502691896257,2.0
family_label::groupers (serranidae),fischmix,2,2,1.0,2.0,2.0,1.4142135623730951,3.0
family_label::groupers (serranidae),mackerel,3,3,1.0,2.3333333333333335,2.0,0.5773502691896258,3.0
family_label::groupers (serranidae),sargassum,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
family_label::groupers (serranidae),ulva_gutweed,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
family_label::groupers (serranidae),ulva_salad,3,3,1.0,1.3333333333333333,1.0,0.5773502691896257,2.0
family_label::groupers feeding,control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers feeding,fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
family_label::groupers feeding,mackerel,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
family_label::groupers feeding,sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers feeding,ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers feeding,ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers interested,control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers interested,fischmix,2,1,0.5,0.5,0.5,0.7071067811865476,1.0
family_label::groupers interested,mackerel,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
family_label::groupers interested,sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers interested,ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers interested,ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
family_label::jacks/trevallyes (carangidae),control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::jacks/trevallyes (carangidae),fischmix,2,0,0.0,0.0,0.0,0.0,0.0
family_label::jacks/trevallyes (carangidae),mackerel,3,0,0.0,0.0,0.0,0.0,0.0
family_label::jacks/trevallyes (carangidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::jacks/trevallyes (carangidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::jacks/trevallyes (carangidae),ulva_salad,3,2,0.6666666666666666,2.6666666666666665,2.0,3.055050463303893,6.0
family_label::morays (muraenidae),control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::morays (muraenidae),fischmix,2,2,1.0,1.0,1.0,0.0,1.0
family_label::morays (muraenidae),mackerel,3,1,0.3333333333333333,0.6666666666666666,0.0,1.1547005383792517,2.0
family_label::morays (muraenidae),sargassum,3,0,0.0,0.0,0.0,0.0,0.0
family_label::morays (muraenidae),ulva_gutweed,3,0,0.0,0.0,0.0,0.0,0.0
family_label::morays (muraenidae),ulva_salad,3,0,0.0,0.0,0.0,0.0,0.0
family_label::naso feeding,control,4,0,0.0,0.0,0.0,0.0,0.0
family_label::naso feeding,fischmix,2,0,0.0,0.0,0.0,0.0,0.0
