taxon_key,standort,n_videos,n_present,occurrence_rate,mean_maxn,median_maxn,std_maxn,max_maxn
family_label::batfishes (ephippidae),milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::batfishes (ephippidae),nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.3015113445777636,1.0
family_label::batfishes (ephippidae),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::blennies (blenniidae),milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::blennies (blenniidae),nursery,11,2,0.18181818181818182,0.18181818181818182,0.0,0.4045199174779452,1.0
family_label::blennies (blenniidae),utumbi,18,2,0.1111111111111111,0.1111111111111111,0.0,0.3233808333817773,1.0
family_label::butterflyfishes (chaetodontidae),milimani,17,2,0.11764705882352941,0.11764705882352941,0.0,0.3321055820775357,1.0
family_label::butterflyfishes (chaetodontidae),nursery,11,0,0.0,0.0,0.0,0.0,0.0
family_label::butterflyfishes (chaetodontidae),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::cornetfishes (fistulariidae),milimani,17,1,0.058823529411764705,0.058823529411764705,0.0,0.242535625036333,1.0
family_label::cornetfishes (fistulariidae),nursery,11,6,0.5454545454545454,1.3636363636363635,1.0,1.9632996344280855,6.0
family_label::cornetfishes (fistulariidae),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::emperors (lethrinidae),milimani,17,2,0.11764705882352941,0.11764705882352941,0.0,0.3321055820775357,1.0
family_label::emperors (lethrinidae),nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.30151134457776363,1.0
family_label::emperors (lethrinidae),utumbi,18,3,0.16666666666666666,0.16666666666666666,0.0,0.38348249442368526,1.0
family_label::filefishes (monacanthidae),milimani,17,1,0.058823529411764705,0.058823529411764705,0.0,0.242535625036333,1.0
family_label::filefishes (monacanthidae),nursery,11,0,0.0,0.0,0.0,0.0,0.0
family_label::filefishes (monacanthidae),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::fusiliers (caesionidae),milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::fusiliers (caesionidae),nursery,11,9,0.8181818181818182,4.363636363636363,4.0,3.7489392439122637,10.0
family_label::fusiliers (caesionidae),utumbi,18,9,0.5,20.11111111111111,1.0,28.941907105926944,88.0
family_label::goatfishes (mullidae),milimani,17,1,0.058823529411764705,0.6470588235294118,0.0,2.667891875399663,11.0
family_label::goatfishes (mullidae),nursery,11,1,0.09090909090909091,0.18181818181818182,0.0,0.6030226891555273,2.0
family_label::goatfishes (mullidae),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers (serranidae),milimani,17,12,0.7058823529411765,1.1176470588235294,1.0,0.9926198253344827,3.0
family_label::groupers (serranidae),nursery,11,4,0.36363636363636365,0.5454545454545454,0.0,0.9341987329938276,3.0
family_label::groupers (serranidae),utumbi,18,18,1.0,1.6111111111111112,1.5,0.6978023391872253,3.0
family_label::groupers feeding,milimani,17,2,0.11764705882352941,0.17647058823529413,0.0,0.5285941398709244,2.0
family_label::groupers feeding,nursery,11,1,0.09090909090909091,0.18181818181818182,0.0,0.6030226891555271,2.0
family_label::groupers feeding,utumbi,18,2,0.1111111111111111,0.16666666666666666,0.0,0.5144957554275265,2.0
family_label::groupers interested,milimani,17,3,0.17647058823529413,0.29411764705882354,0.0,0.6859943405700354,2.0
family_label::groupers interested,nursery,11,0,0.0,0.0,0.0,0.0,0.0
family_label::groupers interested,utumbi,18,2,0.1111111111111111,0.16666666666666666,0.0,0.5144957554275265,2.0
family_label::jacks/trevallyes (carangidae),milimani,17,4,0.23529411764705882,0.35294117647058826,0.0,0.7859052479933757,3.0
family_label::jacks/trevallyes (carangidae),nursery,11,8,0.7272727272727273,1.4545454545454546,1.0,1.6949121725703877,6.0
family_label::jacks/trevallyes (carangidae),utumbi,18,2,0.1111111111111111,0.4444444444444444,0.0,1.464168996281919,6.0
family_label::morays (muraenidae),milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::morays (muraenidae),nursery,11,0,0.0,0.0,0.0,0.0,0.0
family_label::morays (muraenidae),utumbi,18,3,0.16666666666666666,0.2222222222222222,0.0,0.5483188805533162,2.0
family_label::naso feeding,milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::naso feeding,nursery,11,0,0.0,0.0,0.0,0.0,0.0
family_label::naso feeding,utumbi,18,1,0.05555555555555555,0.05555555555555555,0.0,0.23570226039551584,1.0
family_label::parrotfishes (scaridae),milimani,17,17,1.0,6.529411764705882,4.0,6.690643159095614,27.0
family_label::parrotfishes (scaridae),nursery,11,11,1.0,7.090909090909091,6.0,4.614207309052021,14.0
family_label::parrotfishes (scaridae),utumbi,18,18,1.0,13.055555555555555,8.0,18.32860901696394,84.0
family_label::parrotfishes feeding,milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::parrotfishes feeding,nursery,11,3,0.2727272727272727,0.5454545454545454,0.0,1.2135597524338357,4.0
family_label::parrotfishes feeding,utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::puffers (tetraodontidae),milimani,17,8,0.47058823529411764,0.6470588235294118,0.0,0.7859052479933758,2.0
family_label::puffers (tetraodontidae),nursery,11,1,0.09090909090909091,0.18181818181818182,0.0,0.6030226891555271,2.0
family_label::puffers (tetraodontidae),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::scorpion-&lionfishes (scorpaenidae),milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::scorpion-&lionfishes (scorpaenidae),nursery,11,0,0.0,0.0,0.0,0.0,0.0
family_label::scorpion-&lionfishes (scorpaenidae),utumbi,18,1,0.05555555555555555,0.05555555555555555,0.0,0.23570226039551584,1.0
family_label::siganus feeding,milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::siganus feeding,nursery,11,2,0.18181818181818182,0.2727272727272727,0.0,0.6466697906828633,2.0
family_label::siganus feeding,utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::snappers (lutjanidae),milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::snappers (lutjanidae),nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.3015113445777636,1.0
family_label::snappers (lutjanidae),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),milimani,17,2,0.11764705882352941,0.6470588235294118,0.0,2.422322657868586,10.0
family_label::surgeonfishes (acanthuridae),nursery,11,0,0.0,0.0,0.0,0.0,0.0
family_label::surgeonfishes (acanthuridae),utumbi,18,4,0.2222222222222222,0.2222222222222222,0.0,0.42779263194649864,1.0
family_label::triggerfishes (balistidae),milimani,17,2,0.11764705882352941,0.23529411764705882,0.0,0.6642111641550714,2.0
family_label::triggerfishes (balistidae),nursery,11,1,0.09090909090909091,0.2727272727272727,0.0,0.9045340337332909,3.0
family_label::triggerfishes (balistidae),utumbi,18,1,0.05555555555555555,0.05555555555555555,0.0,0.23570226039551584,1.0
family_label::trumpetfishes (aulostomidae),milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::trumpetfishes (aulostomidae),nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.3015113445777636,1.0
family_label::trumpetfishes (aulostomidae),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::tunas/mackerels (scombridae),milimani,17,3,0.17647058823529413,0.17647058823529413,0.0,0.3929526239966879,1.0
family_label::tunas/mackerels (scombridae),nursery,11,0,0.0,0.0,0.0,0.0,0.0
family_label::tunas/mackerels (scombridae),utumbi,18,3,0.16666666666666666,0.16666666666666666,0.0,0.38348249442368526,1.0
family_label::turtle (cheloniidae),milimani,17,2,0.11764705882352941,0.11764705882352941,0.0,0.3321055820775357,1.0
family_label::turtle (cheloniidae),nursery,11,0,0.0,0.0,0.0,0.0,0.0
family_label::turtle (cheloniidae),utumbi,18,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses (labridae),milimani,17,12,0.7058823529411765,1.0588235294117647,1.0,1.0289915108550531,4.0
family_label::wrasses (labridae),nursery,11,2,0.18181818181818182,0.18181818181818182,0.0,0.4045199174779452,1.0
family_label::wrasses (labridae),utumbi,18,16,0.8888888888888888,1.2777777777777777,1.0,0.6691131580686884,2.0
family_label::wrasses interested,milimani,17,0,0.0,0.0,0.0,0.0,0.0
family_label::wrasses interested,nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.3015113445777636,1.0
family_label::wrasses interested,utumbi,18,1,0.05555555555555555,0.05555555555555555,0.0,0.23570226039551584,1.0
genus::canthigaster,milimani,17,0,0.0,0.0,0.0,0.0,0.0
genus::canthigaster,nursery,11,1,0.09090909090909091,0.18181818181818182,0.0,0.6030226891555271,2.0
genus::canthigaster,utumbi,18,0,0.0,0.0,0.0,0.0,0.0
genus::chromis,milimani,17,0,0.0,0.0,0.0,0.0,0.0
genus::chromis,nursery,11,2,0.18181818181818182,0.18181818181818182,0.0,0.4045199174779452,1.0
genus::chromis,utumbi,18,0,0.0,0.0,0.0,0.0,0.0
genus::dascyllus,milimani,17,0,0.0,0.0,0.0,0.0,0.0
genus::dascyllus,nursery,11,3,0.2727272727272727,2.3636363636363638,0.0,4.388000165741275,13.0
genus::dascyllus,utumbi,18,0,0.0,0.0,0.0,0.0,0.0
genus::genus acanthurus,milimani,17,2,0.11764705882352941,0.35294117647058826,0.0,1.2217393579743308,5.0
genus::genus acanthurus,nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.3015113445777636,1.0
genus::genus acanthurus,utumbi,18,0,0.0,0.0,0.0,0.0,0.0
genus::genus caesio,milimani,17,0,0.0,0.0,0.0,0.0,0.0
genus::genus caesio,nursery,11,1,0.09090909090909091,0.45454545454545453,0.0,1.507556722888818,5.0
genus::genus caesio,utumbi,18,3,0.16666666666666666,4.111111111111111,0.0,12.318751316059922,48.0
genus::genus chromis,milimani,17,14,0.8235294117647058,57.1764705882353,55.0,49.917726428240954,171.0
genus::genus chromis,nursery,11,7,0.6363636363636364,1.6363636363636365,1.0,1.8040358795061298,5.0
genus::genus chromis,utumbi,18,15,0.8333333333333334,33.5,27.5,31.535694062442957,94.0
genus::genus ctenochaetus,milimani,17,0,0.0,0.0,0.0,0.0,0.0
genus::genus ctenochaetus,nursery,11,0,0.0,0.0,0.0,0.0,0.0
genus::genus ctenochaetus,utumbi,18,1,0.05555555555555555,0.16666666666666666,0.0,0.7071067811865476,3.0
genus::genus naso,milimani,17,7,0.4117647058823529,0.47058823529411764,0.0,0.6242642728467978,2.0
genus::genus naso,nursery,11,0,0.0,0.0,0.0,0.0,0.0
genus::genus naso,utumbi,18,14,0.7777777777777778,1.3888888888888888,1.0,2.0332208262027454,9.0
genus::genus siganus,milimani,17,2,0.11764705882352941,0.17647058823529413,0.0,0.5285941398709244,2.0
genus::genus siganus,nursery,11,4,0.36363636363636365,1.1818181818181819,0.0,2.1825756260978366,7.0
genus::genus siganus,utumbi,18,2,0.1111111111111111,0.4444444444444444,0.0,1.6528841894672626,7.0
genus::genus soldier,milimani,17,5,0.29411764705882354,0.29411764705882354,0.0,0.46966821831386213,1.0
genus::genus soldier,nursery,11,0,0.0,0.0,0.0,0.0,0.0
genus::genus soldier,utumbi,18,18,1.0,3.1666666666666665,3.0,1.465284553774253,7.0
genus::genus squirrel,milimani,17,2,0.11764705882352941,0.11764705882352941,0.0,0.3321055820775357,1.0
genus::genus squirrel,nursery,11,0,0.0,0.0,0.0,0.0,0.0
genus::genus squirrel,utumbi,18,17,0.9444444444444444,4.111111111111111,4.5,1.9063018984684914,7.0
genus::zebrasoma,milimani,17,0,0.0,0.0,0.0,0.0,0.0
genus::zebrasoma,nursery,11,4,0.36363636363636365,0.6363636363636364,0.0,0.9244162777371755,2.0
genus::zebrasoma,utumbi,18,0,0.0,0.0,0.0,0.0,0.0
label::stomatapoda,milimani,17,2,0.11764705882352941,0.11764705882352941,0.0,0.3321055820775357,1.0
label::stomatapoda,nursery,11,1,0.09090909090909091,0.09090909090909091,0.0,0.3015113445777636,1.0
label::stomatapoda,utumbi,18,0,0.0,0.0,0.0,0.0,0.0
species::arabian monocle (scolopsis ghanam),milimani,17,1,0.058823529411764705,0.11764705882352941,0.0,0.485071250072666,2.0
species::arabian monocle (scolopsis ghanam),nursery,11,9,0.8181818181818182,7.0,8.0,6.115553940568262,20.0
species::arabian monocle (scolopsis ghanam),utumbi,18,5,0.2777777777777778,0.4444444444444444,0.0,0.8555852638929972,3.0
species::axilspot hogfish (bodianus axillaris),milimani,17,14,0.8235294117647058,1.0588235294117647,1.0,0.747545001596402,3.0
species::axilspot hogfish (bodianus axillaris),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::axilspot hogfish (bodianus axillaris),utumbi,18,14,0.7777777777777778,0.8333333333333334,1.0,0.5144957554275266,2.0
species::barred (hemigymnus fasciatus),milimani,17,15,0.8823529411764706,1.1764705882352942,1.0,0.7276068751089989,3.0
species::barred (hemigymnus fasciatus),nursery,11,0,0.0,0.0,0.0,0.0,0.0
species::barred (hemigymnus fasciatus),utumbi,18,16,0.8888888888888888,0.9444444444444444,1.0,0.4161761818978652,2.0
species::bicolor (labroides bicolor),milimani,17,1,0.058823529411764705,0.11764705882352941,0.0,0.485071250072666,2.0
