standort,koeder,filename,n_taxa,median_sec,q25_sec,min_sec
milimani,fischmix,20241210-milimani-fischmix.csv,5,45.0955514,31.0688594,30.2732865
milimani,mackerel,20241124-milimani-mackerel.csv,4,1945.54804245,1860.143064875,1617.1951979
milimani,sargassum,20241127-milimani-sargassum.csv,1,350.3214107660018,350.3214107660018,350.3214107660018
milimani,sargassum,20241128-milimani-sargassum.csv,1,32.7299388,32.7299388,32.7299388
milimani,sargassum,20241129-milimani-sargassum.csv,2,329.49371994999996,177.077060675,24.6604014
milimani,ulva_salad,20241027-milimani-ulva_salad.csv,1,16.71269684396612,16.71269684396612,16.71269684396612
utumbi,control,20241105-utumbi-control.csv,1,1613.888892,1613.888892,1613.888892
utumbi,fischmix,20241209-utumbi-fischmix.csv,8,314.2991922,23.742735525,7.1501172
utumbi,fischmix,20241210-utumbi-fischmix.csv,9,157.701639,71.493425,16.5866369
utumbi,mackerel,20240516-utumbi-mackerel.csv,3,429.3164273,246.41549285,63.5145584
utumbi,mackerel,20241026-utumbi-mackerel.csv,7,110.340903,33.164311,14.261746
utumbi,mackerel,20241124-utumbi-mackerel.csv,7,140.6495725,21.1151017,13.1345466
utumbi,sargassum,20241127-utumbi-sargassum.csv,5,489.9408343863329,29.277657898000193,23.22250219365688
utumbi,sargassum,20241128-utumbi-sargassum.csv,1,7.638701,7.638701,7.638701
utumbi,sargassum,20241129-utumbi-sargassum.csv,2,41.1463775,28.48078185,15.8151862
utumbi,ulva_gutweed,20241029-utumbi-ulva_gutweed.csv,1,34.42999936033562,34.42999936033562,34.42999936033562
utumbi,ulva_salad,20241025-utumbi-ulva_salad.csv,1,809.312176,809.312176,809.312176
utumbi,ulva_salad,20241027-utumbi-ulva_salad.csv,1,190.53693522436708,190.53693522436708,190.53693522436708
utumbi,ulva_salad,20241110-utumbi-ulva_salad.csv,4,225.07454865,220.03453245,215.2176507
