filename,date,standort,koeder,taxon,first_seen_species_sec
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,goldbar (thalassoma hebraicum),15.2657329
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,brown tang (zebrasoma scopas),15.9516841
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,indian half-and-half (pycnochromis dimidiatus),21.493698
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,speckled (parapercis hexophthalma),25.5503159
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,indian longnose (hipposcarus harid),34.4594367
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,bird wrasse (gomphosus caeruleus),35.9906364
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,lined bristletooth (ctenochaetus striatus),18.9049891
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,moon (thalassoma lunare),60.4091343
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,swarthy (scarus niger),65.472031
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,brown pigmy (centropyge multispinis),72.5626024
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,bullethead (chlorurus sordidus),73.0659609
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,orange-lined (balistapus undulatus),75.3665706
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,family::scaridae,39.4929386
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,raccoon (chaetodon lunula),56.3715504
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,green (amblyglyphidodon indicus),102.1016285
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,family::labridae,104.2643271
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,paletail unicorn (naso brevirostris),123.19379576663901
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,genus::genus chromis,42.6969504
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,family::tetraodontidae,249.4040269
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,longbarbel (parupeneus macronemus),256.7524756
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,spotted toby (canthigaster solandri),277.7186034
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,disappearing (pseudocheilinus evanidus),292.067992
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,mozambique fangblenny (meiacanthus mossambicus),298.4627993
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,regal (pygoplites diacanthus),310.0168388
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,sixbar (thalassoma hardwicke),419.27164404164216
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,wirenet (cantherhines pardalis),423.1831098
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,redmouth (aethaloperca rogaa),436.3707184
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,family::serranidae,478.3743313
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,peacock (cephalopholis argus),498.8543551
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,freckled (paracirrhites forsteri),547.0633147
