standort,koeder,filename,n_taxa,median_sec,q25_sec,min_sec
milimani,control,20241111-milimani-control.csv,46,815.3971613,171.34381910000002,7.1418404
milimani,control,20241114-milimani-control.csv,36,495.0034373909991,236.97624949241794,3.209767893
milimani,control,20241115-milimani-control.csv,45,257.1605286,127.9928377,2.2994522
milimani,fischmix,20241210-milimani-fischmix.csv,45,109.1312047,28.5138899,3.7298198
milimani,mackerel,20240515-milimani-mackerel.csv,53,152.5104999,39.4929386,6.9162639
milimani,mackerel,20241025-milimani-mackerel.csv,34,279.8398922465,45.227976106666674,1.2109272
milimani,mackerel,20241124-milimani-mackerel.csv,57,388.5472273,178.354427,1.9399333
milimani,sargassum,20241127-milimani-sargassum.csv,43,510.184661248336,97.66844166316326,1.3444848263337725
milimani,sargassum,20241128-milimani-sargassum.csv,46,327.1720629,71.405022575,1.0484375
milimani,sargassum,20241129-milimani-sargassum.csv,46,470.85525199999995,93.60075214999999,0.363656
milimani,ulva_gutweed,20241026-milimani-ulva_gutweed.csv,39,382.317859,95.07490129516644,4.967780772
milimani,ulva_gutweed,20241029-milimani-ulva_gutweed.csv,49,570.7129387660007,243.8662595896656,0.395248
milimani,ulva_gutweed,20241030-milimani-ulva_gutweed.csv,46,497.3830013388364,135.631634639666,1.374862043
milimani,ulva_salad,20241027-milimani-ulva_salad.csv,40,354.93330362403844,79.79573286289116,0.500213625
milimani,ulva_salad,20241105-milimani-ulva_salad.csv,31,894.5196159,159.59443095,5.8250787
milimani,ulva_salad,20241110-milimani-ulva_salad.csv,57,408.9621283,139.5656106,0.0
milimani,ulva_salad,20241112-milimani-ulva_salad.csv,43,535.1086171,118.02906435,6.4525608
utumbi,control,20241105-utumbi-control.csv,44,104.40300765,25.09913955,0.0
utumbi,control,20241111-utumbi-control.csv,50,297.17690235,80.00587432500001,0.0
utumbi,control,20241114-utumbi-control.csv,43,452.770509366,112.21786097533968,7.544434778
utumbi,control,20241115-utumbi-control.csv,54,390.36928094999996,91.284415725,6.2763467
utumbi,fischmix,20241209-utumbi-fischmix.csv,60,415.5690528,171.20587375,3.2724006
utumbi,fischmix,20241210-utumbi-fischmix.csv,52,383.33365955,69.70753395,10.9234911
utumbi,mackerel,20240516-utumbi-mackerel.csv,61,184.7579668,48.4515012,10.9464675
utumbi,mackerel,20241026-utumbi-mackerel.csv,49,219.30188370650114,17.554427541,0.0
utumbi,mackerel,20241124-utumbi-mackerel.csv,50,461.32443324999997,96.633408775,0.3511248
utumbi,sargassum,20241127-utumbi-sargassum.csv,54,424.67798564449726,56.162855231999124,0.0
utumbi,sargassum,20241128-utumbi-sargassum.csv,61,409.4634603,99.756752,1.0400213
utumbi,sargassum,20241129-utumbi-sargassum.csv,56,412.68922310000005,68.1867988,0.1452923
utumbi,ulva_gutweed,20241029-utumbi-ulva_gutweed.csv,50,422.4546705413353,166.36329344358325,0.0
utumbi,ulva_gutweed,20241030-utumbi-ulva_gutweed.csv,54,462.2076668086685,96.06916817932712,1.082301308
utumbi,ulva_gutweed,20241112-utumbi-ulva_gutweed.csv,55,446.359034,123.27749625,1.4388417
utumbi,ulva_salad,20241025-utumbi-ulva_salad.csv,48,199.5247454465836,84.12579529374993,0.0
utumbi,ulva_salad,20241027-utumbi-ulva_salad.csv,55,538.6255454319692,126.2737219428349,4.118648322
utumbi,ulva_salad,20241110-utumbi-ulva_salad.csv,52,621.45146545,159.40949045,0.4013191
