video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3398074,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[911.24,417.21]]",[0],2892170,"2025-04-09 16:26:42","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398075,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[949.72,599.5]]",[0],2892171,"2025-04-09 16:26:50","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398076,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[934.71,551.09]]",[0],2892172,"2025-04-09 16:26:51","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398077,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[964.74,552.45]]",[0],2892173,"2025-04-09 16:26:51","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398078,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[879.42,536.77]]",[0],2892174,"2025-04-09 16:26:52","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398079,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[798.88,541.54]]",[0],2892175,"2025-04-09 16:26:53","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398080,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[809.8,551.77]]",[0],2892176,"2025-04-09 16:26:53","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398081,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[798.2,557.91]]",[0],2892177,"2025-04-09 16:26:54","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398082,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[792.05,514.27]]",[0],2892178,"2025-04-09 16:26:55","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398083,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[826.86,470.64]]",[0],2892179,"2025-04-09 16:26:56","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398084,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[856.9,489.73]]",[0],2892180,"2025-04-09 16:26:56","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
3398085,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37266,05.11.24_Utumbi_C8_Control_ganz.mp4,1,Point,"[[878.74,455.64]]",[0],2892181,"2025-04-09 16:26:57","{""mimetype"":""video\/mp4"",""size"":6728227200,""width"":1920,""height"":1080}"
