video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3401969,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[1041.69,353.64]]",[0.4013191],2896057,"2025-04-11 16:05:30","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401970,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[1235.14,472.84]]",[2.3363774],2896058,"2025-04-11 16:05:39","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401971,379882,"Freckled (Paracirrhites forsteri)","Heavy Bodies/Large Lips > Hawkfishes (Cirrhitidae) > Freckled (Paracirrhites forsteri)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[1005.26,592.03]]",[2.3547887],2896059,"2025-04-11 16:06:03","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401972,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[872.11,630.93]]",[4.6660743],2896060,"2025-04-11 16:06:31","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401973,388453,"Genus Squirrel (Sargocentron)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[1042.95,574.47]]",[11.5722911],2896061,"2025-04-11 16:06:59","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401974,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[1399.49,439.4]]",[23.3356829],2896062,"2025-04-11 16:07:17","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401975,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[243.77,804.53]]",[47.1999757],2896063,"2025-04-11 16:08:06","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401976,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[1056.91,658.95]]",[54.2648717],2896064,"2025-04-11 16:08:24","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401977,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[752.8,670.28]]",[54.2648717],2896065,"2025-04-11 16:08:29","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401978,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[1257.75,760.95]]",[54.2648717],2896066,"2025-04-11 16:08:38","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401979,386799,"Leopard (Cephalopholis leopardus)","Heavy Bodies/Large Lips > Groupers (Serranidae) > Leopard (Cephalopholis leopardus)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[1037.62,876.56]]",[54.2648717],2896067,"2025-04-11 16:08:46","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401980,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[904.86,696.35]]",[54.2648717],2896068,"2025-04-11 16:08:50","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401981,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[1276.61,649.55]]",[64.5019108],2896069,"2025-04-11 16:09:06","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401982,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[378.88,908.21]]",[64.5019108],2896070,"2025-04-11 16:09:07","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401985,376550,"Genus Soldier (Myripristis)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[593.45,581.81]]",[83.2677502],2896073,"2025-04-11 16:09:43","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401986,375528,"Surgeonfishes (Acanthuridae)","Large Ovals > Surgeonfishes (Acanthuridae)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[818.02,592.07]]",[97.4750553],2896074,"2025-04-11 16:10:15","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401990,427036,"Genus Chromis","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[1386.92,201.11]]",[125.3380786],2896078,"2025-04-11 16:11:08","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
3401991,377446,"Bird wrasse (Gomphosus caeruleus)","Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus)",3843,Max,Romes,37325,10.11.24_Utumbi_Meersalat_ganz.mp4,1,Point,"[[97.13,708.92]]",[134.8040915],2896079,"2025-04-11 16:11:27","{""mimetype"":""video\/mp4"",""size"":8032384611,""width"":1920,""height"":1080}"
