video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3430495,427036,"Genus Chromis","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[623.89,234.52]]",[7.1418404],2922957,"2025-04-23 13:17:15","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430496,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[1365.94,516.96]]",[10.092463],2922958,"2025-04-23 13:17:29","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430497,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[375.74,901.32]]",[10.092463],2922959,"2025-04-23 13:17:36","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430498,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[142.04,927.37]]",[12.4959242],2922960,"2025-04-23 13:17:46","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430499,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[181.21,842.91]]",[12.4959242],2922961,"2025-04-23 13:17:46","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430500,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[277.91,833.12]]",[12.0670377],2922962,"2025-04-23 13:18:00","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430501,377446,"Bird wrasse (Gomphosus caeruleus)","Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[1150.58,678.78]]",[18.4160547],2922963,"2025-04-23 13:18:17","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430502,377458,"Chevroned (Chaetodon trifascialis)","Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Chevroned (Chaetodon trifascialis)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[61.57,751.63]]",[24.6735828],2922964,"2025-04-23 13:18:54","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430503,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[796.03,664.95]]",[45.8503169],2922965,"2025-04-23 13:19:33","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430504,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[322.36,757.36]]",[54.9424022],2922966,"2025-04-23 13:19:48","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430505,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[359.94,816.24]]",[54.9424022],2922967,"2025-04-23 13:19:49","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
3430506,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,37344,11.11.24_Milimani_Control_ganz.mp4,1,Point,"[[762.02,648.38]]",[57.1942623],2922968,"2025-04-23 13:20:03","{""mimetype"":""video\/mp4"",""size"":7972827143,""width"":1920,""height"":1080}"
