video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3431940,376143,"Bicolor (Labroides bicolor)","Wrasses > Wrasses (Labridae) > Bicolor (Labroides bicolor)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[816.19,569.34]]",[0],2924402,"2025-04-24 12:27:00","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431948,388453,"Genus Squirrel (Sargocentron)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1153.2,565.93]]",[1.3207037],2924410,"2025-04-24 12:27:10","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431956,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[400.97,427.65]]",[4.3763893],2924418,"2025-04-24 12:27:23","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431959,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[190.78,476.38]]",[4.3763893],2924421,"2025-04-24 12:27:29","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431961,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[830.03,520.78]]",[9.3793198],2924423,"2025-04-24 12:27:41","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431965,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[928.62,759.01]]",[14.7211456],2924427,"2025-04-24 12:27:53","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431966,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[756.35,561.93]]",[20.2248133],2924428,"2025-04-24 12:28:05","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431967,377314,"Whitetail (Acanthurus thompsoni)","Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[597.08,344.27]]",[24.9227048],2924429,"2025-04-24 12:28:16","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431968,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[752.02,532.69]]",[28.2442461],2924430,"2025-04-24 12:28:26","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431971,427036,"Genus Chromis","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1013.68,459.42]]",[46.0463997],2924433,"2025-04-24 12:29:03","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431973,376550,"Genus Soldier (Myripristis)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1004.81,575.98]]",[49.0085606],2924435,"2025-04-24 12:29:13","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431975,432854,"Golden (Ctenochaetus truncates)","Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[906.17,567.56]]",[49.9939687],2924437,"2025-04-24 12:29:26","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431977,432854,"Golden (Ctenochaetus truncates)","Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1413.3,488.04]]",[51.4471897],2924439,"2025-04-24 12:29:36","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431978,432854,"Golden (Ctenochaetus truncates)","Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[853.4,576.99]]",[51.4471897],2924440,"2025-04-24 12:29:37","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431984,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[925.04,565.12]]",[79.6016156],2924446,"2025-04-24 12:30:15","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431986,376547,"Humpback Unicorn (Naso brachycentron)","Large Ovals > Surgeonfishes (Acanthuridae) > Humpback Unicorn (Naso brachycentron)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[811.87,432.57]]",[81.2186505],2924448,"2025-04-24 12:30:26","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431995,375543,"Groupers (Serranidae)","Heavy Bodies/Large Lips > Groupers (Serranidae)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[768.04,551.29]]",[109.2685164],2924457,"2025-04-24 12:31:04","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431996,377446,"Bird wrasse (Gomphosus caeruleus)","Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[290.66,743.06]]",[118.1748744],2924458,"2025-04-24 12:31:20","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431997,426408,"Five-saddle (Scarus saber)","Parrotfishes > Parrotfishes (Scaridae) > Five-saddle (Scarus saber)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1094,465.8]]",[132.5620293],2924459,"2025-04-24 12:31:40","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431998,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[755.82,248.65]]",[142.5901311],2924460,"2025-04-24 12:32:01","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3431999,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[982.64,425.6]]",[142.5901311],2924461,"2025-04-24 12:32:02","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432002,377437,"Longbarbel (Parupeneus macronemus)","Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[138.65,571.1]]",[158.2478461],2924464,"2025-04-24 12:32:25","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432007,379882,"Freckled (Paracirrhites forsteri)","Heavy Bodies/Large Lips > Hawkfishes (Cirrhitidae) > Freckled (Paracirrhites forsteri)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[286.91,660.2]]",[157.7417197],2924469,"2025-04-24 12:32:42","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432010,379849,"Eclipse (Chaetodon bennetti)","Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Eclipse (Chaetodon bennetti)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[948.06,622.97]]",[158.4096122],2924472,"2025-04-24 12:33:08","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432013,375548,"Wrasses (Labridae)","Wrasses > Wrasses (Labridae)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[42.39,610.19]]",[173.0980693],2924475,"2025-04-24 12:33:34","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432039,376071,"Regal (Pygoplites diacanthus)","Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[151.24,575.58]]",[237.7618662],2924501,"2025-04-24 12:41:33","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432040,388453,"Genus Squirrel (Sargocentron)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1107.32,564.46]]",[250.2905513],2924502,"2025-04-24 12:42:01","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432041,388453,"Genus Squirrel (Sargocentron)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[445.61,581.76]]",[250.2905513],2924503,"2025-04-24 12:42:02","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432042,379886,"Disappearing (Pseudocheilinus evanidus)","Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[27.55,843.83]]",[258.0114435],2924504,"2025-04-24 12:42:18","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432052,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[282.34,670.76]]",[265.5280661],2924514,"2025-04-24 12:45:40","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432057,379878,"Wirenet (Cantherhines pardalis)","Odd-shaped Swimmers > Filefishes (Monacanthidae) > Wirenet (Cantherhines pardalis)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[884.68,589.18]]",[294.3047775],2924519,"2025-04-24 12:46:36","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432060,377500,"Barred (Hemigymnus fasciatus)","Wrasses > Wrasses (Labridae) > Barred (Hemigymnus fasciatus)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[74.89,603.1]]",[300.0490272],2924522,"2025-04-24 12:47:29","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432061,377500,"Barred (Hemigymnus fasciatus)","Wrasses > Wrasses (Labridae) > Barred (Hemigymnus fasciatus)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[977.95,537.75]]",[320.2353805],2924523,"2025-04-24 12:47:52","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432062,377500,"Barred (Hemigymnus fasciatus)","Wrasses > Wrasses (Labridae) > Barred (Hemigymnus fasciatus)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1271.59,448.92]]",[320.2353805],2924524,"2025-04-24 12:47:53","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
3432065,386901,"Brown Pigmy (Centropyge multispinis)","Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis)",3843,Max,Romes,37345,11.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[262.41,626.58]]",[340.3960592],2924527,"2025-04-24 12:48:21","{""mimetype"":""video\/mp4"",""size"":8044770172,""width"":1920,""height"":1080}"
