video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3449893,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37804,Gx011724.mp4,1,Point,"[[1593.46,922.1]]",[10.9464675],2942045,"2025-05-14 14:57:50","{""mimetype"":""video\/mp4"",""size"":1431053077,""width"":1920,""height"":1080,""error"":1}"
3449894,379886,"Disappearing (Pseudocheilinus evanidus)","Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus)",3843,Max,Romes,37804,Gx011724.mp4,1,Point,"[[210.89,556.15]]",[14.4830489],2942046,"2025-05-14 14:58:13","{""mimetype"":""video\/mp4"",""size"":1431053077,""width"":1920,""height"":1080,""error"":1}"
3449896,379886,"Disappearing (Pseudocheilinus evanidus)","Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus)",3843,Max,Romes,37804,Gx011724.mp4,1,Point,"[[450,560.04]]",[14.4830489],2942048,"2025-05-14 14:58:14","{""mimetype"":""video\/mp4"",""size"":1431053077,""width"":1920,""height"":1080,""error"":1}"
3449897,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,37804,Gx011724.mp4,1,Point,"[[1813.83,497.13]]",[14.9178492],2942049,"2025-05-14 14:58:25","{""mimetype"":""video\/mp4"",""size"":1431053077,""width"":1920,""height"":1080,""error"":1}"
3449900,379886,"Disappearing (Pseudocheilinus evanidus)","Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus)",3843,Max,Romes,37804,Gx011724.mp4,1,Point,"[[409.94,467.02]]",[14.4830489],2942052,"2025-05-14 14:59:04","{""mimetype"":""video\/mp4"",""size"":1431053077,""width"":1920,""height"":1080,""error"":1}"
3449901,379886,"Disappearing (Pseudocheilinus evanidus)","Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus)",3843,Max,Romes,37804,Gx011724.mp4,1,Point,"[[290.38,484.23]]",[14.4830489],2942053,"2025-05-14 14:59:04","{""mimetype"":""video\/mp4"",""size"":1431053077,""width"":1920,""height"":1080,""error"":1}"
3449903,379886,"Disappearing (Pseudocheilinus evanidus)","Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus)",3843,Max,Romes,37804,Gx011724.mp4,1,Point,"[[162.71,408.31]]",[14.4830489],2942055,"2025-05-14 14:59:06","{""mimetype"":""video\/mp4"",""size"":1431053077,""width"":1920,""height"":1080,""error"":1}"
3449904,379886,"Disappearing (Pseudocheilinus evanidus)","Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus)",3843,Max,Romes,37804,Gx011724.mp4,1,Point,"[[216.41,388.07]]",[14.4830489],2942056,"2025-05-14 14:59:06","{""mimetype"":""video\/mp4"",""size"":1431053077,""width"":1920,""height"":1080,""error"":1}"
3449905,379886,"Disappearing (Pseudocheilinus evanidus)","Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus)",3843,Max,Romes,37804,Gx011724.mp4,1,Point,"[[310.64,387.06]]",[14.4830489],2942057,"2025-05-14 14:59:06","{""mimetype"":""video\/mp4"",""size"":1431053077,""width"":1920,""height"":1080,""error"":1}"
3449906,379886,"Disappearing (Pseudocheilinus evanidus)","Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus)",3843,Max,Romes,37804,Gx011724.mp4,1,Point,"[[180.95,354.67]]",[14.4830489],2942058,"2025-05-14 14:59:20","{""mimetype"":""video\/mp4"",""size"":1431053077,""width"":1920,""height"":1080,""error"":1}"
