video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3542747,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1065.62,574.94]]",[0.1452923],3027274,"2025-06-12 11:54:24","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542748,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[956.31,236.76]]",[0.1452923],3027275,"2025-06-12 11:54:28","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542750,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[727.07,379.31]]",[0.1452923],3027277,"2025-06-12 11:54:46","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542752,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1495.26,308.04]]",[2.0557226],3027279,"2025-06-12 11:55:09","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542753,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[959.35,453.62]]",[2.0557226],3027280,"2025-06-12 11:55:10","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542754,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[637.49,523.38]]",[2.0557226],3027281,"2025-06-12 11:55:11","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542755,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[127.39,479.4]]",[2.0557226],3027282,"2025-06-12 11:55:12","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542756,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[927.46,388.41]]",[5.8181896],3027283,"2025-06-12 11:55:23","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542757,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[664.82,623.47]]",[5.8181896],3027284,"2025-06-12 11:55:27","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542759,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1754.87,314.1]]",[6.2476331],3027286,"2025-06-12 11:55:35","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542760,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[174.45,514.28]]",[1.3612594],3027287,"2025-06-12 11:55:47","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542761,432854,"Golden (Ctenochaetus truncates)","Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[950.68,520.71]]",[3.5400115],3027288,"2025-06-12 11:56:18","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542762,386799,"Leopard (Cephalopholis leopardus)","Heavy Bodies/Large Lips > Groupers (Serranidae) > Leopard (Cephalopholis leopardus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1288.65,489.29]]",[3.5400115],3027289,"2025-06-12 11:56:23","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542763,388453,"Genus Squirrel (Sargocentron)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1881.82,359.99]]",[3.5400115],3027290,"2025-06-12 11:56:34","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542764,376550,"Genus Soldier (Myripristis)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1062.4,547.79]]",[5.9400735],3027291,"2025-06-12 11:56:50","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542765,376590,"False-eye (Abudefduf sparoides)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > False-eye (Abudefduf sparoides)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1070.51,268.9]]",[11.0884973],3027292,"2025-06-12 11:57:05","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542766,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[905.31,474.37]]",[15.8151862],3027293,"2025-06-12 11:57:20","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542767,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[796.79,155.65]]",[15.8151862],3027294,"2025-06-12 11:57:22","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542768,427283,"Green Feeding","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Feeding",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[921.51,469.51]]",[15.8151862],3027295,"2025-06-12 11:57:26","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542769,376590,"False-eye (Abudefduf sparoides)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > False-eye (Abudefduf sparoides)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1308.6,154.03]]",[15.8151862],3027296,"2025-06-12 11:57:33","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542770,376590,"False-eye (Abudefduf sparoides)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > False-eye (Abudefduf sparoides)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[487.44,477.6]]",[15.8151862],3027297,"2025-06-12 11:57:35","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542771,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[344.92,479.22]]",[24.5172023],3027298,"2025-06-12 11:58:06","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542772,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1000.87,492.16]]",[24.5172023],3027299,"2025-06-12 11:58:07","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542773,375543,"Groupers (Serranidae)","Heavy Bodies/Large Lips > Groupers (Serranidae)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[701.24,540.7]]",[25.1183093],3027300,"2025-06-12 11:58:15","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542774,427320,"Goldbar Interested","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum) > Goldbar Interested",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[620.25,340.08]]",[30.0083624],3027301,"2025-06-12 11:58:26","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542775,427277,"Red Interested","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar) > Red Interested",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[947.42,586]]",[40.8321105],3027302,"2025-06-12 11:58:46","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542776,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1917.58,432.3]]",[47.8624262],3027303,"2025-06-12 11:59:08","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542777,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1404.16,584.38]]",[47.8624262],3027304,"2025-06-12 11:59:09","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542778,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[205.63,537.46]]",[47.8624262],3027305,"2025-06-12 11:59:10","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542779,377501,"Humpnose Bigeye (Monotaxis grandoculis)","Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[683.86,497.47]]",[53.3708597],3027306,"2025-06-12 11:59:24","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542780,427343,"Goldbar Feeding","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum) > Goldbar Feeding",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[913.43,658.57]]",[66.4775688],3027307,"2025-06-12 11:59:46","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542781,377446,"Bird wrasse (Gomphosus caeruleus)","Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1625.39,313.14]]",[68.1867988],3027308,"2025-06-12 11:59:53","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542783,377437,"Longbarbel (Parupeneus macronemus)","Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1698.03,282.66]]",[68.1867988],3027310,"2025-06-12 11:59:58","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542785,376555,"Indian Redfin (Chaetodon trifasciatus)","Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Indian Redfin (Chaetodon trifasciatus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[519.68,584.55]]",[75.4097174],3027312,"2025-06-12 12:00:21","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542786,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1038.39,455.38]]",[75.4097174],3027313,"2025-06-12 12:00:25","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542787,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1087.79,417.64]]",[75.4097174],3027314,"2025-06-12 12:00:26","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542788,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[920.7,527.95]]",[75.4097174],3027315,"2025-06-12 12:00:26","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542789,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[910.53,461.18]]",[75.4097174],3027316,"2025-06-12 12:00:27","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
3542790,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,38039,29.11.2024_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1041.29,401.68]]",[81.0911524],3027317,"2025-06-12 12:00:39","{""mimetype"":""video\/mp4"",""size"":6628897966,""width"":1920,""height"":1080}"
