video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3547338,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38054,09.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[823.86,407.18]]",[3.2724006],3031114,"2025-06-16 16:25:23","{""mimetype"":""video\/mp4"",""size"":6715456390,""width"":1920,""height"":1080}"
3547339,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38054,09.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[812.91,467.97]]",[3.2724006],3031115,"2025-06-16 16:25:24","{""mimetype"":""video\/mp4"",""size"":6715456390,""width"":1920,""height"":1080}"
3547340,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38054,09.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[838.45,540.91]]",[3.2724006],3031116,"2025-06-16 16:25:24","{""mimetype"":""video\/mp4"",""size"":6715456390,""width"":1920,""height"":1080}"
3547341,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38054,09.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[844.53,600.49]]",[3.2724006],3031117,"2025-06-16 16:25:25","{""mimetype"":""video\/mp4"",""size"":6715456390,""width"":1920,""height"":1080}"
3547342,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38054,09.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[831.15,396.24]]",[3.2724006],3031118,"2025-06-16 16:25:31","{""mimetype"":""video\/mp4"",""size"":6715456390,""width"":1920,""height"":1080}"
3547343,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38054,09.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[787.37,470.4]]",[3.2724006],3031119,"2025-06-16 16:25:31","{""mimetype"":""video\/mp4"",""size"":6715456390,""width"":1920,""height"":1080}"
3547344,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38054,09.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[834.8,514.17]]",[3.2724006],3031120,"2025-06-16 16:25:32","{""mimetype"":""video\/mp4"",""size"":6715456390,""width"":1920,""height"":1080}"
3547345,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38054,09.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[860.35,598.06]]",[3.2724006],3031121,"2025-06-16 16:25:32","{""mimetype"":""video\/mp4"",""size"":6715456390,""width"":1920,""height"":1080}"
3547346,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38054,09.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[569.64,598.06]]",[3.2724006],3031122,"2025-06-16 16:25:37","{""mimetype"":""video\/mp4"",""size"":6715456390,""width"":1920,""height"":1080}"
3547347,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38054,09.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[669.38,610.21]]",[3.2724006],3031123,"2025-06-16 16:25:38","{""mimetype"":""video\/mp4"",""size"":6715456390,""width"":1920,""height"":1080}"
