video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3550746,376886,"Sixbar (Thalassoma hardwicke)","Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[441.42,403.31]]",[3.7298198],3034213,"2025-06-17 17:22:59","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550747,376886,"Sixbar (Thalassoma hardwicke)","Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[983.73,402.1]]",[3.7298198],3034214,"2025-06-17 17:23:00","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550748,376886,"Sixbar (Thalassoma hardwicke)","Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[1034.35,398.49]]",[3.7298198],3034215,"2025-06-17 17:23:01","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550749,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[1118.71,420.17]]",[7.0407541],3034216,"2025-06-17 17:23:17","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550750,377437,"Longbarbel (Parupeneus macronemus)","Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[1227.17,611.7]]",[7.0407541],3034217,"2025-06-17 17:23:23","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550751,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[912.63,364.76]]",[7.0407541],3034218,"2025-06-17 17:23:31","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550752,383131,"Scissortail Sergeant (Abudefduf sexfasciatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[1024.71,181.66]]",[7.0407541],3034219,"2025-06-17 17:23:58","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550754,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[893.35,493.65]]",[7.0407541],3034221,"2025-06-17 17:24:02","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550755,375543,"Groupers (Serranidae)","Heavy Bodies/Large Lips > Groupers (Serranidae)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[833.09,422.58]]",[9.3834665],3034222,"2025-06-17 17:24:13","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550756,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[381.16,435.83]]",[9.3834665],3034223,"2025-06-17 17:24:20","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550757,383131,"Scissortail Sergeant (Abudefduf sexfasciatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[993.37,153.96]]",[10.4291992],3034224,"2025-06-17 17:24:35","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550758,383131,"Scissortail Sergeant (Abudefduf sexfasciatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[793.32,172.03]]",[10.4291992],3034225,"2025-06-17 17:24:36","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550759,383131,"Scissortail Sergeant (Abudefduf sexfasciatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[774.04,206.96]]",[10.4291992],3034226,"2025-06-17 17:24:36","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550760,383131,"Scissortail Sergeant (Abudefduf sexfasciatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[1088.58,162.39]]",[10.4291992],3034227,"2025-06-17 17:24:37","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550761,383131,"Scissortail Sergeant (Abudefduf sexfasciatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[1295.86,174.44]]",[10.4291992],3034228,"2025-06-17 17:24:37","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550762,377446,"Bird wrasse (Gomphosus caeruleus)","Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[859.6,429.81]]",[13.1986015],3034229,"2025-06-17 17:24:50","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550763,375543,"Groupers (Serranidae)","Heavy Bodies/Large Lips > Groupers (Serranidae)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[857.19,576.77]]",[16.634101],3034230,"2025-06-17 17:25:00","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550764,375543,"Groupers (Serranidae)","Heavy Bodies/Large Lips > Groupers (Serranidae)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[877.68,506.9]]",[16.634101],3034231,"2025-06-17 17:25:00","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550765,427236,"Groupers Interested","Heavy Bodies/Large Lips > Groupers (Serranidae) > Groupers Interested",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[912.63,494.86]]",[16.634101],3034232,"2025-06-17 17:25:06","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550766,427236,"Groupers Interested","Heavy Bodies/Large Lips > Groupers (Serranidae) > Groupers Interested",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[853.58,558.7]]",[16.634101],3034233,"2025-06-17 17:25:07","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550768,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[1106.66,403.31]]",[19.5567586],3034235,"2025-06-17 17:25:17","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550769,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[945.17,408.13]]",[19.5567586],3034236,"2025-06-17 17:25:18","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
3550770,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38056,10.12.24_Milimani_fishmix_ganz.mp4,1,Point,"[[882.5,455.11]]",[19.5567586],3034237,"2025-06-17 17:25:18","{""mimetype"":""video\/mp4"",""size"":6692357949,""width"":1920,""height"":1080}"
