video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
4411569,378901,"Speckled (Parapercis hexophthalma)","Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[1372.92,1271.69]]",[18.318148],3664054,"2026-01-28 14:03:55","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411591,427036,"Genus Chromis","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis",3843,Max,Romes,48601,left1.mp4,1,Point,"[[99.49,885.13]]",[31.72014],3664075,"2026-01-28 14:07:41","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411607,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[124.44,1520.39]]",[32.85578],3664091,"2026-01-28 14:09:49","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411609,473655,"Blackwhite (Macolor niger)","Sloping Heads > Snappers (Lutjanidae) > Blackwhite (Macolor niger)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[382.32,746.42]]",[33.761561],3664093,"2026-01-28 14:10:05","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411620,377437,"Longbarbel (Parupeneus macronemus)","Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[446.81,996.81]]",[45.060618],3664104,"2026-01-28 14:10:55","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411640,379872,"Threespot Dascyllus (Dascyllus trimaculatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[1106.75,536.31]]",[28.650826],3664124,"2026-01-28 14:13:23","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411641,379872,"Threespot Dascyllus (Dascyllus trimaculatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[907.1,42.52]]",[28.650826],3664125,"2026-01-28 14:13:24","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411654,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[1115.07,752.68]]",[54.304617],3664138,"2026-01-28 14:14:32","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411656,379872,"Threespot Dascyllus (Dascyllus trimaculatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[1009.71,42.51]]",[55.806416],3664140,"2026-01-28 14:14:41","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411657,379872,"Threespot Dascyllus (Dascyllus trimaculatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[1594.78,544.62]]",[55.806416],3664141,"2026-01-28 14:14:41","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411659,379872,"Threespot Dascyllus (Dascyllus trimaculatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[1209.35,966.28]]",[55.806416],3664143,"2026-01-28 14:14:42","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411661,379872,"Threespot Dascyllus (Dascyllus trimaculatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[1433.95,508.56]]",[66.520968],3664145,"2026-01-28 14:14:55","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411662,379872,"Threespot Dascyllus (Dascyllus trimaculatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[1714.01,489.14]]",[66.520968],3664146,"2026-01-28 14:14:56","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411663,379872,"Threespot Dascyllus (Dascyllus trimaculatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[2129.94,780.42]]",[66.520968],3664147,"2026-01-28 14:14:56","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
4411664,379872,"Threespot Dascyllus (Dascyllus trimaculatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus)",3843,Max,Romes,48601,left1.mp4,1,Point,"[[1173.3,866.41]]",[66.520968],3664148,"2026-01-28 14:14:57","{""mimetype"":""video\/mp4"",""size"":187046040,""width"":3840,""height"":2160,""error"":6}"
