video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3382450,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[1327.01,457.2]]",[3.5611529813333385],2877059,"2025-04-01 15:16:11","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382451,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[1344.83,466.79]]",[3.5611529813333385],2877060,"2025-04-01 15:16:11","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382452,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[1355.81,484.6]]",[3.5611529813333385],2877061,"2025-04-01 15:16:12","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382455,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[111.93,290.07]]",[5.669512115666157],2877064,"2025-04-01 15:16:27","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382457,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[541.19,331.17]]",[5.669512115666157],2877066,"2025-04-01 15:16:27","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382458,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[667.36,259.94]]",[5.669512115666157],2877067,"2025-04-01 15:16:28","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382459,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[1209.06,159.93]]",[5.669512115666157],2877068,"2025-04-01 15:16:29","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382465,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[707.13,147.6]]",[5.6695121],2877074,"2025-04-01 15:16:35","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382470,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[971.81,148.97]]",[5.6695121],2877079,"2025-04-01 15:16:48","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382474,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[22.79,316.1]]",[5.6695121],2877083,"2025-04-01 15:16:51","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382479,386788,"Checkerboard (Halichoeres hortulanus)","Wrasses > Wrasses (Labridae) > Checkerboard (Halichoeres hortulanus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[853.87,640.77]]",[10.260774725],2877088,"2025-04-01 15:17:04","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382549,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[1096.42,410.88]]",[10.614550325],2877158,"2025-04-01 15:21:51","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382550,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[757.8,587.99]]",[15.11011471500042],2877159,"2025-04-01 15:22:11","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382554,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[168.71,487.7]]",[29.105564238667295],2877163,"2025-04-01 15:22:37","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382559,386901,"Brown Pigmy (Centropyge multispinis)","Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[1357.42,508.25]]",[47.68403321266616],2877168,"2025-04-01 15:23:04","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382573,386901,"Brown Pigmy (Centropyge multispinis)","Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[1175.44,528.49]]",[96.2031249666668],2877182,"2025-04-01 15:24:01","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382574,386901,"Brown Pigmy (Centropyge multispinis)","Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[1390.44,511.57]]",[96.2031249666668],2877183,"2025-04-01 15:24:02","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382608,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[786.84,407.72]]",[132.69670580066736],2877217,"2025-04-01 15:24:56","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
3382611,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,37260,29.10.24_Milimani_C8_Glasnudel_ganz.mp4,1,Point,"[[211.22,465.29]]",[132.6967058],2877220,"2025-04-01 15:25:11","{""mimetype"":""video\/mp4"",""size"":5327919397,""width"":1920,""height"":1080}"
