video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3464274,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,38013,15.11.24_Milimani_Control_ganz.mp4,1,Point,"[[1173.78,538.52]]",[2.2994522],2954527,"2025-05-18 08:46:08","{""mimetype"":""video\/mp4"",""size"":6631646934,""width"":1920,""height"":1080}"
3464275,376886,"Sixbar (Thalassoma hardwicke)","Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke)",3843,Max,Romes,38013,15.11.24_Milimani_Control_ganz.mp4,1,Point,"[[363.46,578.77]]",[13.875874],2954528,"2025-05-18 08:46:25","{""mimetype"":""video\/mp4"",""size"":6631646934,""width"":1920,""height"":1080}"
3464276,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,38013,15.11.24_Milimani_Control_ganz.mp4,1,Point,"[[681.91,589.9]]",[17.8237233],2954529,"2025-05-18 08:46:36","{""mimetype"":""video\/mp4"",""size"":6631646934,""width"":1920,""height"":1080}"
3464277,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,38013,15.11.24_Milimani_Control_ganz.mp4,1,Point,"[[400.2,674.18]]",[21.0267951],2954530,"2025-05-18 08:46:45","{""mimetype"":""video\/mp4"",""size"":6631646934,""width"":1920,""height"":1080}"
3464278,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,38013,15.11.24_Milimani_Control_ganz.mp4,1,Point,"[[356.22,700.43]]",[29.1002713],2954531,"2025-05-18 08:47:06","{""mimetype"":""video\/mp4"",""size"":6631646934,""width"":1920,""height"":1080}"
3464279,386901,"Brown Pigmy (Centropyge multispinis)","Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis)",3843,Max,Romes,38013,15.11.24_Milimani_Control_ganz.mp4,1,Point,"[[544.12,688.56]]",[53.4784294],2954532,"2025-05-18 08:47:41","{""mimetype"":""video\/mp4"",""size"":6631646934,""width"":1920,""height"":1080}"
3464280,386791,"Saddleback (Chaetodon falcula)","Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Saddleback (Chaetodon falcula)",3843,Max,Romes,38013,15.11.24_Milimani_Control_ganz.mp4,1,Point,"[[966.8,576.46]]",[72.9152158],2954533,"2025-05-18 08:48:20","{""mimetype"":""video\/mp4"",""size"":6631646934,""width"":1920,""height"":1080}"
3464281,386791,"Saddleback (Chaetodon falcula)","Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Saddleback (Chaetodon falcula)",3843,Max,Romes,38013,15.11.24_Milimani_Control_ganz.mp4,1,Point,"[[883.17,566.37]]",[72.9152158],2954534,"2025-05-18 08:48:44","{""mimetype"":""video\/mp4"",""size"":6631646934,""width"":1920,""height"":1080}"
3464282,379887,"Longnose (Forcipiger flavissimus)","Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Longnose (Forcipiger flavissimus)",3843,Max,Romes,38013,15.11.24_Milimani_Control_ganz.mp4,1,Point,"[[178.2,663.7]]",[92.7125439],2954535,"2025-05-18 08:49:10","{""mimetype"":""video\/mp4"",""size"":6631646934,""width"":1920,""height"":1080}"
3464283,379850,"Black Saddled Toby (Canthigaster valentini)","Odd-shaped Swimmers > Puffers (Tetraodontidae) > Black Saddled Toby (Canthigaster valentini)",3843,Max,Romes,38013,15.11.24_Milimani_Control_ganz.mp4,1,Point,"[[1225.87,581.94]]",[97.3509607],2954536,"2025-05-18 08:49:22","{""mimetype"":""video\/mp4"",""size"":6631646934,""width"":1920,""height"":1080}"
