video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
4523653,427036,"Genus Chromis","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[278.69,42.72]]",[142.09106],3763108,"2026-03-02 16:05:16","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523655,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[55.92,731.72]]",[143.854723],3763110,"2026-03-02 16:05:23","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523656,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[291.88,765.44]]",[145.785099],3763111,"2026-03-02 16:05:30","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523657,537345,"Peacock Damsel (Pomacentrus pavo)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Peacock Damsel (Pomacentrus pavo)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[140.93,160]]",[158.306107],3763112,"2026-03-02 16:05:47","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523659,377475,"Brassy Trevally (Caranx papuensis)","Silvery > Jacks/Trevallyes (Carangidae) > Brassy Trevally (Caranx papuensis)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[765.41,45.7]]",[178.687856],3763114,"2026-03-02 16:06:19","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523660,377475,"Brassy Trevally (Caranx papuensis)","Silvery > Jacks/Trevallyes (Carangidae) > Brassy Trevally (Caranx papuensis)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[922.22,228.94]]",[178.687856],3763115,"2026-03-02 16:06:20","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523661,378901,"Speckled (Parapercis hexophthalma)","Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[353.58,728.84]]",[182.61222],3763116,"2026-03-02 16:06:28","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523662,443001,"Longnose (Lethrinus olivaceus)","Sloping Heads > Emperors (Lethrinidae) > Longnose (Lethrinus olivaceus)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[1537.76,871.04]]",[184.629416],3763117,"2026-03-02 16:06:53","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523663,377501,"Humpnose Bigeye (Monotaxis grandoculis)","Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[1545.09,954.6]]",[192.728629],3763118,"2026-03-02 16:07:07","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523664,376144,"Blue-streak (Labroides dimidiatus)","Wrasses > Wrasses (Labridae) > Blue-streak (Labroides dimidiatus)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[61.94,646.74]]",[192.190236],3763119,"2026-03-02 16:07:37","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523665,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[20.9,761.09]]",[198.230926],3763120,"2026-03-02 16:07:52","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523666,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[533.85,780.15]]",[198.230926],3763121,"2026-03-02 16:07:53","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523667,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[42.88,857.84]]",[202.642968],3763122,"2026-03-02 16:08:05","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523668,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[148.64,968.03]]",[202.642968],3763123,"2026-03-02 16:08:06","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523669,537346,"Feeding Longnose","Sloping Heads > Emperors (Lethrinidae) > Longnose (Lethrinus olivaceus) > Feeding Longnose",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[1392.43,409.54]]",[204.3702],3763124,"2026-03-02 16:09:06","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523670,473655,"Blackwhite (Macolor niger)","Sloping Heads > Snappers (Lutjanidae) > Blackwhite (Macolor niger)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[1836.03,475.44]]",[208.487671],3763125,"2026-03-02 16:09:15","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523671,376885,"Sailfin Tang (Zebrasoma desjardinii)","Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[96.79,803.51]]",[210.629516],3763126,"2026-03-02 16:09:22","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523672,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[247.59,441.96]]",[215.739163],3763127,"2026-03-02 16:09:36","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523673,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[227.09,598.65]]",[215.739163],3763128,"2026-03-02 16:09:37","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523674,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[499.39,872.5]]",[215.739163],3763129,"2026-03-02 16:09:37","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523675,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[484.75,1058.48]]",[215.739163],3763130,"2026-03-02 16:09:38","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
4523676,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,49360,GH010068.mp4,1,Point,"[[190.49,1055.55]]",[215.739163],3763131,"2026-03-02 16:09:38","{""mimetype"":""video\/mp4"",""size"":221022427,""width"":1920,""height"":1080,""error"":6}"
