video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3615055,377437,"Longbarbel (Parupeneus macronemus)","Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus)",3843,Max,Romes,38042,06.12.24_Schnur_Nursery_ganz.mp4,1,Point,"[[1428.18,708.96]]",[3.44165],3075253,"2025-08-25 16:53:58","{""mimetype"":""video\/mp4"",""size"":8579286463,""width"":1920,""height"":1080}"
3615056,442948,"Humpback (Lutjanus gibbus)","Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus)",3843,Max,Romes,38042,06.12.24_Schnur_Nursery_ganz.mp4,1,Point,"[[1116.47,585.21]]",[3.44165],3075254,"2025-08-25 16:54:04","{""mimetype"":""video\/mp4"",""size"":8579286463,""width"":1920,""height"":1080}"
3615057,376546,"Paletail Unicorn (Naso brevirostris)","Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris)",3843,Max,Romes,38042,06.12.24_Schnur_Nursery_ganz.mp4,1,Point,"[[705.12,616.51]]",[5.015272],3075255,"2025-08-25 16:54:11","{""mimetype"":""video\/mp4"",""size"":8579286463,""width"":1920,""height"":1080}"
3615058,443007,"Arabian Monocle (Scolopsis ghanam)","Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam)",3843,Max,Romes,38042,06.12.24_Schnur_Nursery_ganz.mp4,1,Point,"[[1480.31,866.29]]",[20.303487],3075256,"2025-08-25 16:54:30","{""mimetype"":""video\/mp4"",""size"":8579286463,""width"":1920,""height"":1080}"
3615059,442922,"Blue barred (Scarus ghobban)","Parrotfishes > Parrotfishes (Scaridae) > Blue barred (Scarus ghobban)",3843,Max,Romes,38042,06.12.24_Schnur_Nursery_ganz.mp4,1,Point,"[[292.87,566.73]]",[23.012017],3075257,"2025-08-25 16:54:40","{""mimetype"":""video\/mp4"",""size"":8579286463,""width"":1920,""height"":1080}"
3615060,376885,"Sailfin Tang (Zebrasoma desjardinii)","Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii)",3843,Max,Romes,38042,06.12.24_Schnur_Nursery_ganz.mp4,1,Point,"[[902.79,563.26]]",[29.580569],3075258,"2025-08-25 16:54:52","{""mimetype"":""video\/mp4"",""size"":8579286463,""width"":1920,""height"":1080}"
3615061,376885,"Sailfin Tang (Zebrasoma desjardinii)","Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii)",3843,Max,Romes,38042,06.12.24_Schnur_Nursery_ganz.mp4,1,Point,"[[947.93,669.67]]",[36.581712],3075259,"2025-08-25 16:55:03","{""mimetype"":""video\/mp4"",""size"":8579286463,""width"":1920,""height"":1080}"
3615062,376885,"Sailfin Tang (Zebrasoma desjardinii)","Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii)",3843,Max,Romes,38042,06.12.24_Schnur_Nursery_ganz.mp4,1,Point,"[[885.43,456.85]]",[36.581712],3075260,"2025-08-25 16:55:04","{""mimetype"":""video\/mp4"",""size"":8579286463,""width"":1920,""height"":1080}"
3615063,427193,"Sailfin TangFeeding","Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii) > Sailfin TangFeeding",3843,Max,Romes,38042,06.12.24_Schnur_Nursery_ganz.mp4,1,Point,"[[862.28,474.2]]",[36.581712],3075261,"2025-08-25 16:55:08","{""mimetype"":""video\/mp4"",""size"":8579286463,""width"":1920,""height"":1080}"
3615064,427193,"Sailfin TangFeeding","Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii) > Sailfin TangFeeding",3843,Max,Romes,38042,06.12.24_Schnur_Nursery_ganz.mp4,1,Point,"[[979.18,674.29]]",[36.581712],3075262,"2025-08-25 16:55:08","{""mimetype"":""video\/mp4"",""size"":8579286463,""width"":1920,""height"":1080}"
