video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3360998,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,37240,27.10.2024_UtumbiC10_Meersalat_ganz.mp4,1,Point,"[[208.19,656.8]]",[4.118648322],2857284,"2025-03-25 13:58:08","{""mimetype"":""video\/mp4"",""size"":7999934785,""width"":1920,""height"":1080}"
3360999,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,37240,27.10.2024_UtumbiC10_Meersalat_ganz.mp4,1,Point,"[[859.52,638.7]]",[4.118648322],2857285,"2025-03-25 13:58:18","{""mimetype"":""video\/mp4"",""size"":7999934785,""width"":1920,""height"":1080}"
3361000,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37240,27.10.2024_UtumbiC10_Meersalat_ganz.mp4,1,Point,"[[579.08,453.2]]",[4.118648322],2857286,"2025-03-25 13:58:29","{""mimetype"":""video\/mp4"",""size"":7999934785,""width"":1920,""height"":1080}"
3361001,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37240,27.10.2024_UtumbiC10_Meersalat_ganz.mp4,1,Point,"[[850.47,428.32]]",[4.118648322],2857287,"2025-03-25 13:58:32","{""mimetype"":""video\/mp4"",""size"":7999934785,""width"":1920,""height"":1080}"
3361002,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,37240,27.10.2024_UtumbiC10_Meersalat_ganz.mp4,1,Point,"[[1139.95,383.08]]",[6.637586469297432],2857288,"2025-03-25 13:58:45","{""mimetype"":""video\/mp4"",""size"":7999934785,""width"":1920,""height"":1080}"
3361003,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37240,27.10.2024_UtumbiC10_Meersalat_ganz.mp4,1,Point,"[[349.53,535.77]]",[6.637586469297432],2857289,"2025-03-25 13:58:55","{""mimetype"":""video\/mp4"",""size"":7999934785,""width"":1920,""height"":1080}"
3361010,377314,"Whitetail (Acanthurus thompsoni)","Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni)",3843,Max,Romes,37240,27.10.2024_UtumbiC10_Meersalat_ganz.mp4,1,Point,"[[781.5,310.69]]",[5.41788755],2857291,"2025-03-25 13:59:53","{""mimetype"":""video\/mp4"",""size"":7999934785,""width"":1920,""height"":1080}"
3361011,379871,"Blue-green (Chromis viridis)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Blue-green (Chromis viridis)",3843,Max,Romes,37240,27.10.2024_UtumbiC10_Meersalat_ganz.mp4,1,Point,"[[1187.45,405.7]]",[5.41788755],2857292,"2025-03-25 14:00:03","{""mimetype"":""video\/mp4"",""size"":7999934785,""width"":1920,""height"":1080}"
3361012,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,37240,27.10.2024_UtumbiC10_Meersalat_ganz.mp4,1,Point,"[[951.11,536.9]]",[9.253686574035644],2857293,"2025-03-25 14:00:23","{""mimetype"":""video\/mp4"",""size"":7999934785,""width"":1920,""height"":1080}"
3361017,379884,"Blacktip (Epinephelus fasciatus)","Heavy Bodies/Large Lips > Groupers (Serranidae) > Blacktip (Epinephelus fasciatus)",3843,Max,Romes,37240,27.10.2024_UtumbiC10_Meersalat_ganz.mp4,1,Point,"[[129.03,742.76]]",[18.441321148302386],2857295,"2025-03-25 14:01:19","{""mimetype"":""video\/mp4"",""size"":7999934785,""width"":1920,""height"":1080}"
