video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3330422,376548,"Red-breasted (Cheilinus fasciatus)","Wrasses > Wrasses (Labridae) > Red-breasted (Cheilinus fasciatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[1366.42,297.98]]",[7.544434778],2828288,"2025-03-13 09:13:52","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330423,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[93.55,302.19]]",[7.544434778],2828289,"2025-03-13 09:14:04","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330424,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[179.06,362.49]]",[7.544434778],2828290,"2025-03-13 09:14:10","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330425,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[12.75,401.94]]",[20.696259720665065],2828291,"2025-03-13 09:14:42","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330426,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[5.33,375.2]]",[20.696259720665065],2828292,"2025-03-13 09:14:43","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330427,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[50.19,344.53]]",[20.696259720665065],2828293,"2025-03-13 09:14:46","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330428,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[79.89,366.81]]",[20.696259720665065],2828294,"2025-03-13 09:14:46","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330429,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[76.92,383.9]]",[20.696259720665065],2828295,"2025-03-13 09:14:47","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330430,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[74.69,421.04]]",[20.696259720665065],2828296,"2025-03-13 09:14:48","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330431,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[73.95,444.06]]",[20.696259720665065],2828297,"2025-03-13 09:14:49","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330432,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[133.36,358.64]]",[20.696259720665065],2828298,"2025-03-13 09:14:49","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330433,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[185.34,411.38]]",[20.696259720665065],2828299,"2025-03-13 09:14:50","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330434,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[158.61,441.09]]",[20.696259720665065],2828300,"2025-03-13 09:14:51","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330435,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[143.76,458.18]]",[20.696259720665065],2828301,"2025-03-13 09:14:51","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330436,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[142.27,487.15]]",[20.696259720665065],2828302,"2025-03-13 09:14:52","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330437,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[170.49,460.41]]",[20.696259720665065],2828303,"2025-03-13 09:14:53","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330438,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[181.63,467.09]]",[20.696259720665065],2828304,"2025-03-13 09:14:54","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330439,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[230.64,475.26]]",[20.696259720665065],2828305,"2025-03-13 09:14:55","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330440,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[232.87,465.61]]",[20.696259720665065],2828306,"2025-03-13 09:14:55","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330441,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[230.64,450.01]]",[20.696259720665065],2828307,"2025-03-13 09:14:56","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330442,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[251.43,447.04]]",[20.696259720665065],2828308,"2025-03-13 09:14:56","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330443,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[241.04,412.12]]",[20.696259720665065],2828309,"2025-03-13 09:14:57","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330444,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[229.15,374.24]]",[20.696259720665065],2828310,"2025-03-13 09:14:58","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
3330445,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36744,14.11.2024_Utumbi_C10_Control_fullvideo.mp4,1,Point,"[[246.23,381.67]]",[20.696259720665065],2828311,"2025-03-13 09:14:59","{""mimetype"":""video\/mp4"",""size"":7042756498,""width"":1920,""height"":1080}"
