video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3474629,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[843.86,796.79]]",[1.0400213],2964257,"2025-05-23 14:24:08","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474630,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[6.81,564.74]]",[1.0400213],2964258,"2025-05-23 14:24:12","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474631,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[841.37,426.26]]",[1.0400213],2964259,"2025-05-23 14:24:16","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474632,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[8.06,529.81]]",[3.8200655],2964260,"2025-05-23 14:24:24","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474633,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[522.02,513.59]]",[3.8200655],2964261,"2025-05-23 14:24:24","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474634,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1054.69,587.2]]",[3.8200655],2964262,"2025-05-23 14:24:25","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474635,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1110.94,534.69]]",[5.8229328],2964263,"2025-05-23 14:24:39","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474636,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[294.61,913.29]]",[5.8229328],2964264,"2025-05-23 14:24:40","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474637,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[1427.86,534.69]]",[5.8229328],2964265,"2025-05-23 14:24:59","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474638,375543,"Groupers (Serranidae)","Heavy Bodies/Large Lips > Groupers (Serranidae)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[765.66,593.89]]",[7.3995171],2964266,"2025-05-23 14:25:10","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474639,427283,"Green Feeding","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Feeding",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[749.63,641.98]]",[7.638701],2964267,"2025-05-23 14:25:21","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474640,377446,"Bird wrasse (Gomphosus caeruleus)","Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[772.12,572.75]]",[10.7022491],2964268,"2025-05-23 14:25:47","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474641,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[853.67,559.15]]",[11.8335974],2964269,"2025-05-23 14:25:53","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474642,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[837.85,559.24]]",[11.8335974],2964270,"2025-05-23 14:25:55","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
3474643,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38017,28.11.24_Utumbi_Sargassum_ganz.mp4,1,Point,"[[351.7,682.38]]",[13.2157216],2964271,"2025-05-23 14:26:03","{""mimetype"":""video\/mp4"",""size"":6653024483,""width"":1920,""height"":1080}"
