video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3554743,379884,"Blacktip (Epinephelus fasciatus)","Heavy Bodies/Large Lips > Groupers (Serranidae) > Blacktip (Epinephelus fasciatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[609.65,841.24]]",[12.1564655],3037993,"2025-06-19 13:39:00","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554744,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[498.75,706.01]]",[12.1564655],3037994,"2025-06-19 13:39:09","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554745,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[512.06,432.22]]",[12.1564655],3037995,"2025-06-19 13:39:15","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554746,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[726.04,540.54]]",[12.1564655],3037996,"2025-06-19 13:39:22","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554747,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[731.16,628.81]]",[12.1564655],3037997,"2025-06-19 13:39:23","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554748,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[909.04,743.93]]",[12.1564655],3037998,"2025-06-19 13:39:24","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554749,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1333.92,561.01]]",[12.1564655],3037999,"2025-06-19 13:39:25","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554750,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[828.42,479.14]]",[12.1564655],3038000,"2025-06-19 13:39:25","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554751,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1170.11,504.72]]",[12.1564655],3038001,"2025-06-19 13:39:32","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554752,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1024.22,467.63]]",[12.1564655],3038002,"2025-06-19 13:39:32","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554753,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[79.7,635.99]]",[12.3588901],3038003,"2025-06-19 13:39:41","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554754,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1208.63,751.46]]",[13.6533587],3038004,"2025-06-19 13:39:54","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554755,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[831.88,545.46]]",[13.6533587],3038005,"2025-06-19 13:39:55","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554756,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[430.19,629.43]]",[13.6533587],3038006,"2025-06-19 13:39:56","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554757,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[435.44,595.32]]",[13.6533587],3038007,"2025-06-19 13:39:56","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554758,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1351.71,454.92]]",[10.9234911],3038008,"2025-06-19 13:40:13","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554759,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1308.39,464.11]]",[10.9234911],3038009,"2025-06-19 13:40:13","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554760,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1124.61,465.42]]",[10.9234911],3038010,"2025-06-19 13:40:14","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554761,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[582.47,672.73]]",[10.9234911],3038011,"2025-06-19 13:40:15","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554762,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1278.81,532.72]]",[11.9924207],3038012,"2025-06-19 13:40:35","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554763,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[798.25,478.22]]",[11.9924207],3038013,"2025-06-19 13:40:36","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554764,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[693,582.15]]",[11.9924207],3038014,"2025-06-19 13:40:37","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554765,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[738.65,635.38]]",[11.9924207],3038015,"2025-06-19 13:40:37","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554766,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[919.97,784.94]]",[11.9924207],3038016,"2025-06-19 13:40:38","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554767,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[41.26,665.8]]",[11.9924207],3038017,"2025-06-19 13:40:40","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554769,375548,"Wrasses (Labridae)","Wrasses > Wrasses (Labridae)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[889.54,864.78]]",[14.6503742],3038019,"2025-06-19 13:41:02","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554770,375548,"Wrasses (Labridae)","Wrasses > Wrasses (Labridae)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[941.53,848.31]]",[14.6503742],3038020,"2025-06-19 13:41:02","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554771,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[337.92,450.43]]",[16.5866369],3038021,"2025-06-19 13:41:20","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554772,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[530.27,437.69]]",[16.5866369],3038022,"2025-06-19 13:41:20","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554773,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[748.1,618.5]]",[16.5866369],3038023,"2025-06-19 13:41:21","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554774,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[776.13,784.03]]",[16.5866369],3038024,"2025-06-19 13:41:22","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554775,427299,"Green Interested","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[977.4,438.97]]",[16.5866369],3038025,"2025-06-19 13:41:23","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554776,427347,"Moon Feeding","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare) > Moon Feeding",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[792.69,798.03]]",[16.5866369],3038026,"2025-06-19 13:41:34","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554777,427347,"Moon Feeding","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare) > Moon Feeding",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[514.98,748.37]]",[16.5866369],3038027,"2025-06-19 13:41:35","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554778,427164,"Blacktip Feeding","Heavy Bodies/Large Lips > Groupers (Serranidae) > Blacktip (Epinephelus fasciatus) > Blacktip Feeding",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[610.52,823.5]]",[19.864441],3038028,"2025-06-19 13:41:50","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554779,375543,"Groupers (Serranidae)","Heavy Bodies/Large Lips > Groupers (Serranidae)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1214.51,514.38]]",[17.9210213],3038029,"2025-06-19 13:42:01","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554780,376886,"Sixbar (Thalassoma hardwicke)","Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1110.37,615.91]]",[21.7302814],3038030,"2025-06-19 13:42:12","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554782,376143,"Bicolor (Labroides bicolor)","Wrasses > Wrasses (Labridae) > Bicolor (Labroides bicolor)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1007.51,484.83]]",[31.1284094],3038031,"2025-06-19 13:42:40","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554783,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[206.53,531.09]]",[37.6397876],3038032,"2025-06-19 13:43:06","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554784,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[239.96,429.57]]",[37.6397876],3038033,"2025-06-19 13:43:07","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554785,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[323.53,483.54]]",[37.6397876],3038034,"2025-06-19 13:43:07","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554786,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[484.24,429.57]]",[37.6397876],3038035,"2025-06-19 13:43:08","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554787,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[632.09,412.86]]",[37.6397876],3038036,"2025-06-19 13:43:09","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554788,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[650.09,603.06]]",[37.6397876],3038037,"2025-06-19 13:43:09","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554789,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[750.38,462.98]]",[37.6397876],3038038,"2025-06-19 13:43:10","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554790,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1043.51,552.94]]",[37.6397876],3038039,"2025-06-19 13:43:10","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554791,432854,"Golden (Ctenochaetus truncates)","Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1168.23,444.99]]",[38.4379343],3038040,"2025-06-19 13:43:21","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554793,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[931.66,469.4]]",[38.1820495],3038042,"2025-06-19 13:43:37","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554794,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[517.67,745.7]]",[38.1820495],3038043,"2025-06-19 13:43:38","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554795,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[995.94,623.62]]",[38.1820495],3038044,"2025-06-19 13:43:39","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554796,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[1241.51,577.35]]",[38.1820495],3038045,"2025-06-19 13:43:39","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554797,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[841.66,596.63]]",[38.1820495],3038046,"2025-06-19 13:43:41","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554798,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[31.68,496.39]]",[43.9709274],3038047,"2025-06-19 13:44:09","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554799,379858,"Redmouth (Aethaloperca rogaa)","Heavy Bodies/Large Lips > Groupers (Serranidae) > Redmouth (Aethaloperca rogaa)",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[953.52,633.9]]",[43.100139],3038048,"2025-06-19 13:44:21","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
3554800,427232,"Orange-lined Interested","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus) > Orange-lined Interested",3843,Max,Romes,38057,10.12.24_Utumbi_fishmix_ganz.mp4,1,Point,"[[605.09,768.83]]",[68.8088934],3038049,"2025-06-19 13:45:23","{""mimetype"":""video\/mp4"",""size"":6640706293,""width"":1920,""height"":1080}"
